Source,Target 
Q1300841,Q1424573
Q1300858,Q1056828
Q1300865,Q1752184
Q1300883,Q1821411
Q1300927,Q662785
Q1300963,Q992693
Q1300976,Q1752184
Q1300986,Q1752184
Q1300993,Q1752184
Q1300998,Q1752184
Q1301031,Q1524259
Q1301039,Q1524259
Q1301053,Q723568
Q1301056,Q1752184
Q1301109,Q612893
Q1301134,Q11840021
Q1301153,Q2718273
Q1301273,Q2464776
Q1301300,Q1424573
Q1301311,Q1424573
Q1301462,Q545285
Q1301481,Q905352
Q1301489,Q1821411
Q1301498,Q1821411
Q1301505,Q1752184
Q1301521,Q1752184
Q1301531,Q1821411
Q1301541,Q1424573
Q1301708,Q905352
Q1301800,Q1093396
Q1302037,Q259857
Q1302046,Q1056828
Q1302054,Q1056828
Q1302079,Q259857
Q1302206,Q10786325
Q1302271,Q905352
Q1302403,Q905044
Q1302431,Q774692
Q1302468,Q905352
Q1302576,Q790026
Q1302592,Q2127526
Q1302601,Q944621
Q1302610,Q612008
Q1302618,Q1752184
Q1302624,Q1752184
Q1302635,Q426403
Q1302643,Q1821411
Q1302651,Q1752184
Q1302656,Q1752184
Q1302676,Q1752184
Q1302683,Q1752184
Q1302692,Q1752184
Q1302700,Q1424573
Q1302760,Q2127526
Q1302765,Q597127
Q1302897,Q867433
Q1302920,Q259857
Q1302962,Q614481
Q1302973,Q992693
Q1303122,Q992693
Q1303127,Q1524265
Q1303275,Q1093619
Q1303291,Q2090536
Q1303306,Q2090536
Q1303370,Q1093619
Q1303396,Q226900
Q1303497,Q15977420
Q1303721,Q10803024
Q1303878,Q10811677
Q1303897,Q259857
Q1303984,Q226900
Q1304143,Q1093619
Q1304413,Q1093619
Q1304453,Q1093619
Q1304606,Q1093619
Q1304631,Q943766
Q1304641,Q992693
Q1304647,Q1062130
Q1304677,Q1248925
Q1304707,Q1062130
Q1304712,Q992693
Q1304739,Q2387360
Q1304745,Q992693
Q1304884,Q1062130
Q1304918,Q1093619
Q1305004,Q992693
Q1305018,Q646544
Q1305035,Q850557
Q1305042,Q767947
Q1305053,Q767947
Q1305064,Q767947
Q1305068,Q1524265
Q1305074,Q992693
Q1305129,Q1062130
Q1305187,Q613598
Q1305198,Q1752184
Q1305205,Q1424573
Q1305243,Q629816
Q1305270,Q226900
Q1305283,Q1424573
Q1305417,Q10757041
Q1305454,Q867433
Q1305565,Q992693
Q1305588,Q767947
Q1305603,Q992693
Q1305609,Q1524265
Q1305633,Q992693
Q1305790,Q198010
Q1306467,Q597127
Q1306484,Q597127
Q1306486,Q597127
Q1306497,Q532569
Q1306517,Q1062130
Q1306580,Q857839
Q1306610,Q1093619
Q1306657,Q301153
Q1306669,Q767947
Q1306678,Q597127
Q1306770,Q1093619
Q1306888,Q1093619
Q1306918,Q1093619
Q1307046,Q1424573
Q1307274,Q226900
Q1307299,Q10798142
Q1307442,Q868049
Q1307528,Q588866
Q1307588,Q1093619
Q1307621,Q532569
Q1307705,Q1093619
Q1307794,Q1093619
Q1308173,Q2090536
Q1308335,Q10789831
Q1308362,Q2387360
Q1308374,Q1093619
Q1308391,Q1093619
Q1308640,Q868049
Q1308645,Q1093619
Q1308664,Q1093619
Q1308767,Q1093619
Q1308775,Q944621
Q13099444,Q4281393
Q1309999,Q1093619
Q1310015,Q1093619
Q1310032,Q2341577
Q1310073,Q226900
Q1310295,Q1093619
Q1310306,Q1093619
Q131044,Q29564928
Q1310484,Q1093619
Q1310611,Q2333853
Q1310926,Q1093619
Q1310934,Q1093619
Q1310948,Q1093619
Q1311031,Q1093619
Q1311195,Q1093619
Q1311204,Q1093619
Q1311233,Q1093619
Q1311967,Q1093619
Q1312208,Q945274
Q1312295,Q1093619
Q1312299,Q867433
Q1312406,Q669025
Q1313294,Q611996
Q1314032,Q1093619
Q1314178,Q614481
Q1314559,Q226900
Q1314594,Q1093619
Q1314609,Q1067810
Q1314613,Q1093619
Q1315499,Q1752184
Q1315534,Q1752184
Q1316810,Q1062130
Q1316954,Q10809426
Q1317073,Q1093619
Q1317295,Q1093619
Q1318015,Q248398
Q1318023,Q259857
Q1318045,Q671699
Q1319067,Q226900
Q1319474,Q226900
Q1319774,Q1093619
Q1319781,Q867433
Q132270,Q667490
Q133129,Q3505470
Q133463,Q667490
Q13405119,Q835712
Q1342319,Q259424
Q134368,Q904159
Q1345750,Q850925
Q13465652,Q843381
Q134998,Q179333
Q135313,Q17501833
Q135913,Q955626
Q13674667,Q62018031
Q1368136,Q1431050
Q13732338,Q259424
Q14111046,Q25565
Q1413302,Q597127
Q1418323,Q2962666
Q1424486,Q612008
Q1424573,Q748159
Q1430628,Q226900
Q1431050,Q748159
Q1436055,Q203628
Q14369901,Q386521
Q1438034,Q1066573
Q1439640,Q723568
Q1440714,Q784248
Q1441623,Q905044
Q144218,Q14786632
Q14465830,Q1093619
Q1451428,Q226900
Q14517970,Q160835
Q14526318,Q1951184
Q14527715,Q2071911
Q1453080,Q2718273
Q1458268,Q613598
Q145846,Q831376
Q14586381,Q188854
Q14612583,Q1061396
Q14624644,Q188854
Q14624734,Q28135
Q14624738,Q28135
Q14639099,Q839859
Q14639981,Q179333
Q14643448,Q179333
Q14661848,Q179333
Q1466513,Q310857
Q14720044,Q179333
Q147230,Q10827634
Q1480653,Q1896265
Q148485,Q333842
Q148583,Q614481
Q148735,Q588866
Q1490737,Q611996
Q14915971,Q429173
Q14927696,Q2787489
Q14944500,Q1066573
Q15021098,Q733647
Q15023998,Q507769
Q15032474,Q774034
Q15055407,Q754657
Q15059422,Q835712
Q15211421,Q103813094
Q15233021,Q671699
Q1528805,Q10747617
Q1528819,Q867433
Q15295193,Q258195
Q15304463,Q1617702
Q1535692,Q588866
Q1537187,Q179333
Q1541137,Q613202
Q15411423,Q160835
Q1543711,Q905044
Q1543890,Q1187535
Q1543897,Q905352
Q15461098,Q25317
Q15462103,Q1066573
Q1552323,Q426403
Q1552922,Q831376
Q15615581,Q160835
Q15616450,Q2468288
Q156250,Q600204
Q1565826,Q905352
Q15707860,Q10812337
Q15707861,Q508859
Q15707874,Q252936
Q15707876,Q252936
Q15707882,Q21078697
Q15707896,Q21078625
Q15707910,Q508859
Q15707911,Q508859
Q15707913,Q508859
Q15707926,Q637716
Q15708190,Q1075004
Q15708219,Q31961
Q15714177,Q764420
Q15727465,Q545285
Q15729544,Q597127
Q1574390,Q467068
Q15781894,Q904159
Q15809254,Q25385
Q1584095,Q1192748
Q1584267,Q2090536
Q1584677,Q850925
Q1584943,Q10798326
Q1584955,Q905352
Q15850865,Q28135
Q15850872,Q1061396
Q15850892,Q1061396
Q15850916,Q1061396
Q1585174,Q2090536
Q1585228,Q10803067
Q15852437,Q904159
Q1585356,Q850925
Q1585374,Q333842
Q1585484,Q373870
Q1585646,Q637716
Q1585673,Q674813
Q1585713,Q2090536
Q1585720,Q2090536
Q1585727,Q2090536
Q1585741,Q2090536
Q1585751,Q2090536
Q1585911,Q1424573
Q1585920,Q2090536
Q1585929,Q11234198
Q1585962,Q2090536
Q1585995,Q10762052
Q15860297,Q1061396
Q1586058,Q943094
Q1586068,Q10741566
Q1586105,Q674813
Q1586112,Q10818313
Q1586166,Q10784305
Q1586171,Q667248
Q1586190,Q3759722
Q1586211,Q2136293
Q1586220,Q2090536
Q1586230,Q614481
Q1586258,Q614481
Q1586344,Q136358
Q1586396,Q1080266
Q1586450,Q637716
Q1586466,Q259424
Q1586476,Q259857
Q1586490,Q905352
Q1586520,Q588866
Q1586533,Q553031
Q1586576,Q510287
Q1586637,Q1056828
Q1586689,Q1187535
Q1586703,Q860902
Q1586718,Q1896265
Q1586785,Q943094
Q1586796,Q671699
Q1586820,Q905352
Q1586862,Q613202
Q1586876,Q2353892
Q15869286,Q839859
Q1586929,Q10732187
Q1586987,Q553031
Q1587008,Q1092473
Q1587019,Q553031
Q1587032,Q611996
Q1587061,Q647306
Q1587096,Q509402
Q1587119,Q667248
Q1587130,Q10759419
Q1587140,Q662785
Q1587181,Q662785
Q1587193,Q662785
Q1587203,Q857839
Q1587268,Q10745348
Q1587296,Q869684
Q1587319,Q869684
Q1587330,Q1187535
Q1587355,Q1187535
Q1587366,Q333842
Q1587407,Q545285
Q15874083,Q214621
Q1587419,Q1187535
Q15874223,Q4583899
Q1587479,Q1187535
Q1587496,Q637716
Q1587510,Q1187535
Q1587526,Q637716
Q1587552,Q1187535
Q1587579,Q2090536
Q1587620,Q10745347
Q1587639,Q11234198
Q1587667,Q637716
Q1587673,Q2090536
Q1587684,Q2090536
Q1587700,Q1234395
Q1587761,Q613598
Q1587775,Q10834803
Q1587803,Q859005
Q1587819,Q2456138
Q1587825,Q259857
Q1587890,Q301153
Q1587899,Q1159505
Q15879636,Q839859
Q1587997,Q28135
Q1588010,Q514379
Q1588033,Q2464776
Q15880340,Q839859
Q1588073,Q2464776
Q1588082,Q2464776
Q1588090,Q2464776
Q1588139,Q259857
Q1588145,Q695679
Q1588168,Q545285
Q1588177,Q614481
Q1588185,Q2622315
Q1588203,Q695679
Q15882082,Q839859
Q1588210,Q695679
Q1588239,Q695679
Q1588260,Q259857
Q1588289,Q790026
Q1588297,Q652184
Q1588308,Q652184
Q1588380,Q1056828
Q1588415,Q1056828
Q1588425,Q1944992
Q1588444,Q682955
Q1588456,Q1056828
Q1588470,Q1056828
Q1588485,Q10743815
Q1588522,Q790026
Q1588530,Q1035252
Q1588541,Q740857
Q1588548,Q674813
Q1588553,Q674813
Q15885608,Q160835
Q1588561,Q592718
Q1588583,Q770332
Q1588589,Q740857
Q1588605,Q674813
Q1588614,Q674813
Q1588623,Q612008
Q1588635,Q259857
Q1588675,Q867090
Q1588711,Q592718
Q1588735,Q674813
Q1588767,Q592718
Q1588786,Q947937
Q1588787,Q261172
Q1588810,Q588866
Q1588820,Q2417877
Q1588839,Q899759
Q1588846,Q652184
Q1588850,Q1056828
Q1588891,Q611996
Q1588904,Q611996
Q1588957,Q612893
Q1588964,Q662785
Q1588972,Q611996
Q1589130,Q662785
Q1589166,Q10809239
Q1589193,Q2090536
Q1589215,Q248398
Q1589225,Q1061396
Q1589261,Q614481
Q1589273,Q611996
Q1589368,Q612008
Q1589391,Q611996
Q1589550,Q1431050
Q1589557,Q901041
Q1589575,Q226900
Q1589667,Q597127
Q1589693,Q1431050
Q1589801,Q637716
Q1589815,Q2353892
Q1589845,Q10827979
Q1589867,Q2127526
Q1589875,Q10792473
Q1589908,Q588866
Q1589936,Q1082554
Q1589973,Q136358
Q1589981,Q943766
Q1590005,Q1424573
Q1590063,Q333842
Q1590160,Q662785
Q1590289,Q652184
Q1590308,Q652184
Q1590333,Q646544
Q1590382,Q1066573
Q1590393,Q283514
Q1590443,Q10820366
Q1590459,Q674813
Q15904783,Q916830
Q1590551,Q1187535
Q1590574,Q832245
Q1590584,Q261172
Q159080,Q637716
Q1590815,Q1056828
Q1590824,Q259857
Q1590852,Q259857
Q15910193,Q587527
Q1591061,Q248398
Q1591161,Q2090536
Q1591271,Q1093396
Q1591316,Q905352
Q1591354,Q15032474
Q1591454,Q674813
Q1591466,Q10762701
Q1591472,Q3102861
Q1591481,Q367998
Q1591498,Q292580
Q1591506,Q1236461
Q1591523,Q2003332
Q1591775,Q301153
Q1591792,Q11234198
Q15918502,Q764420
Q1591908,Q1062173
Q15924584,Q29858
Q1593784,Q695679
Q15943541,Q188854
Q15952800,Q597127
Q15966587,Q2101364
Q15977420,Q774034
Q15998878,Q869223
Q16060373,Q226900
Q16070723,Q259857
Q16070742,Q188854
Q16089868,Q934716
Q16240750,Q160835
Q16271623,Q520316
Q1630399,Q831376
Q16326572,Q10735395
Q1638429,Q23667765
Q16481563,Q160835
Q16510500,Q730023
Q16514380,Q666222
Q16533759,Q15734727
Q16535167,Q205857
Q16554760,Q214621
Q16585400,Q65698814
Q165856,Q902469
Q16590101,Q764420
Q165974,Q43489
Q16619200,Q31448
Q16622211,Q31448
Q16635950,Q5261336
Q16687416,Q214264
Q16687418,Q214264
Q167164,Q214264
Q16748813,Q214264
Q168677,Q13428439
Q168748,Q15042109
Q168881,Q5261336
Q16984024,Q842378
Q1704238,Q2000404
Q170598,Q15042113
Q17153446,Q18059355
Q17154363,Q205857
Q17176946,Q205857
Q17189183,Q905044
Q17189223,Q29858
Q1719434,Q226900
Q1720561,Q1187535
Q172093,Q183361
Q1734605,Q226900
Q17351700,Q645107
Q1736963,Q292580
Q1752184,Q160835
Q17525050,Q614481
Q1761519,Q226900
Q1762127,Q13428439
Q17622294,Q18356377
Q17631057,Q768526
Q1766815,Q723568
Q1778202,Q226900
Q1781382,Q179333
Q178662,Q375593
Q178830,Q10789528
Q179625,Q43489
Q1797393,Q867433
Q179959,Q10821959
Q18001589,Q1061396
Q18001590,Q1061396
Q18046732,Q1193275
Q1804876,Q292580
Q18088144,Q188854
Q18088249,Q946515
Q1809611,Q508859
Q180991,Q253789
Q18120708,Q386521
Q1821411,Q748159
Q18229940,Q136358
Q1823893,Q2556351
Q18275516,Q28135
Q182971,Q255035
Q183361,Q82562
Q183396,Q992693
Q18358162,Q21354261
Q18419783,Q597127
Q184508,Q754657
Q18457898,Q2787489
Q18467941,Q216850
Q18468815,Q1187535
Q1848006,Q945274
Q18543538,Q25769
Q1854439,Q780445
Q18551949,Q943843
Q18560074,Q943843
Q18560082,Q730023
Q18560086,Q943843
Q18562216,Q748159
Q186184,Q843168
Q18643385,Q903316
Q1866982,Q2468395
Q1867173,Q29858
Q1868513,Q905044
Q1868951,Q208304
Q1869865,Q908909
Q1871298,Q905044
Q187412,Q597127
Q187852,Q210416
Q1880408,Q179333
Q1881975,Q136358
Q18822536,Q137294
Q1883106,Q259050
Q1886632,Q9027076
Q188877,Q581391
Q189609,Q253789
Q1896265,Q666222
Q1897132,Q467068
Q191125,Q183361
Q191155,Q831376
Q191469,Q14566629
Q191628,Q183361
Q191723,Q214300
Q1921950,Q1080599
Q1922861,Q782352
Q1923015,Q646544
Q1923036,Q902469
Q1923042,Q941671
Q1923053,Q902469
Q1923059,Q902469
Q1923087,Q226900
Q1923092,Q226900
Q1923098,Q226900
Q1923105,Q3102861
Q1923110,Q226900
Q1923113,Q226900
Q1923120,Q226900
Q1923125,Q226900
Q1923132,Q226900
Q1923139,Q226900
Q1923142,Q226900
Q1923148,Q226900
Q1923155,Q226900
Q1923255,Q859927
Q1923280,Q2000404
Q1923283,Q867433
Q1923310,Q2387360
Q1923328,Q859927
Q1923333,Q669025
Q1923339,Q2387360
Q1923357,Q2387360
Q1923360,Q867433
Q1923372,Q2387360
Q1923378,Q2160210
Q1923384,Q2160210
Q1923389,Q2482442
Q1923429,Q867433
Q1923445,Q226900
Q1923457,Q611996
Q1923489,Q226900
Q1923497,Q226900
Q1923538,Q226900
Q1923543,Q226900
Q1923563,Q226900
Q1923568,Q226900
Q1923588,Q226900
Q1923685,Q669067
Q1923701,Q859927
Q1923708,Q868619
Q1923720,Q867433
Q1923775,Q226900
Q1923777,Q588866
Q1923788,Q1067810
Q1923793,Q950394
Q1923991,Q867433
Q1924000,Q867433
Q1924008,Q867433
Q1924024,Q867433
Q1924030,Q867433
Q1924037,Q859927
Q1924045,Q867433
Q1924052,Q867433
Q1924060,Q859927
Q1924068,Q671699
Q1924213,Q10756897
Q1924681,Q1081072
Q1924690,Q780445
Q192705,Q15734727
Q1929686,Q748159
Q1930587,Q772179
Q1930599,Q1081072
Q1930686,Q867433
Q1930701,Q1081072
Q1930713,Q780445
Q1930737,Q867433
Q1930777,Q867433
Q1931323,Q904159
Q1932049,Q904159
Q1932080,Q904159
Q1934333,Q588866
Q1935176,Q904159
Q1935552,Q1080266
Q193593,Q1991437
Q19366283,Q25402068
Q1940157,Q662785
Q194314,Q10763377
Q194317,Q214264
Q1943671,Q292580
Q1944992,Q748159
Q1945746,Q2468395
Q1946843,Q637716
Q1951679,Q29858
Q1957093,Q662785
Q1959514,Q15104624
Q19598330,Q748220
Q19598624,Q19598622
Q19608738,Q10748864
Q1968643,Q782352
Q19698216,Q669025
Q19702798,Q733647
Q19722303,Q839859
Q19728858,Q386521
Q1974598,Q905044
Q1975486,Q842378
Q19756216,Q19756217
Q1976187,Q902469
Q1976357,Q2787489
Q1977804,Q62018031
Q198010,Q681374
Q19827850,Q943843
Q19831620,Q780445
Q19844492,Q732881
Q19845689,Q850925
Q19850901,Q160835
Q19851064,Q748159
Q19914650,Q748159
Q1992066,Q188854
Q19921649,Q19885881
Q1997711,Q188854
Q2000404,Q681374
Q2003332,Q748159
Q200339,Q131450
Q2004498,Q587527
Q20061476,Q375593
Q200646,Q10792772
Q20072184,Q29564928
Q20072300,Q20162165
Q2008627,Q945274
Q20097944,Q20171221
Q201300,Q256760
Q20162119,Q20072250
Q20162353,Q2558536
Q20165869,Q2558536
Q2020137,Q256760
Q2021870,Q662785
Q204001,Q945274
Q204052,Q905352
Q2041057,Q662785
Q204160,Q934716
Q204171,Q780445
Q205491,Q614481
Q2060964,Q905044
Q2065504,Q1060194
Q2065773,Q613598
Q206630,Q614481
Q20665493,Q768526
Q2066661,Q902469
Q207107,Q827257
Q20717004,Q760382
Q20717007,Q2324017
Q20720985,Q385322
Q2073679,Q2295270
Q20745744,Q20745749
Q20745749,Q748159
Q20749077,Q832245
Q20755733,Q732881
Q2077795,Q2617117
Q207846,Q690813
Q2080428,Q1066573
Q20817550,Q183361
Q20819558,Q281519
Q20823352,Q16006098
Q20824987,Q177856
Q20850537,Q255035
Q208703,Q857400
Q208710,Q850925
Q208716,Q14254250
Q2087565,Q29858
Q208940,Q11897625
Q2092764,Q226900
Q2092797,Q514379
Q209419,Q183361
Q2096782,Q665719
Q2096798,Q780445
Q2098821,Q1868990
Q2100563,Q10762761
Q21006533,Q12060072
Q2102604,Q1951184
Q21029592,Q768526
Q210341,Q10749386
Q21035837,Q867433
Q210422,Q637716
Q2104600,Q1951184
Q2104862,Q29858
Q21078390,Q2196521
Q2108557,Q667490
Q21086844,Q839859
Q210954,Q10808224
Q2110987,Q613598
Q21127377,Q553031
Q21161419,Q15734727
Q21161426,Q15734727
Q211670,Q288617
Q2118095,Q15885515
Q21191122,Q850925
Q21192281,Q10763377
Q212020,Q28135
Q21213777,Q768526
Q21215749,Q31448
Q21222602,Q754889
Q21224579,Q944397
Q21224714,Q839859
Q21226299,Q992907
Q21226621,Q869223
Q21227995,Q31448
Q21228003,Q748220
Q21228160,Q160835
Q21229852,Q666222
Q21230913,Q13624220
Q21238932,Q588866
Q21247371,Q766642
Q21250111,Q1991437
Q21265316,Q614481
Q21265320,Q614481
Q21265325,Q614481
Q21265330,Q614481
Q21265334,Q614481
Q21268994,Q259424
Q21270506,Q581391
Q21270510,Q581391
Q21270514,Q581391
Q21270517,Q581391
Q21270522,Q581391
Q21270527,Q581391
Q21270531,Q581391
Q21271367,Q21446091
Q21271445,Q20745749
Q21278498,Q850925
Q21283058,Q2656069
Q21283067,Q2656069
Q2128854,Q613598
Q2128988,Q508859
Q2129285,Q1951184
Q21299581,Q776072
Q21303969,Q1093619
Q21310343,Q21334072
Q21318603,Q333842
Q21318607,Q1431050
Q213216,Q1192748
Q21324549,Q16985210
Q21325529,Q16985144
Q21325533,Q16985144
Q21325537,Q16985144
Q21327601,Q21229852
Q21327722,Q507769
Q213366,Q14786570
Q21345206,Q932473
Q21345212,Q81515
Q21345239,Q457471
Q21345247,Q1052043
Q21345270,Q1274483
Q21345327,Q638019
Q21346126,Q653049
Q21346299,Q570539
Q21346320,Q845982
Q21346451,Q518608
Q21346630,Q796741
Q21347200,Q1259412
Q21347207,Q1259412
Q21347331,Q1267434
Q21347456,Q704987
Q21348112,Q844655
Q21348243,Q908909
Q21348315,Q828255
Q21348534,Q516398
Q21348785,Q301777
Q21348965,Q743740
Q21348997,Q260240
Q21350742,Q1059641
Q21350965,Q25756
Q21350970,Q25756
Q21350975,Q1237607
Q21350984,Q1237607
Q21350989,Q25756
Q21350994,Q25756
Q21350999,Q25756
Q21351004,Q25756
Q21351008,Q1237607
Q21351014,Q25756
Q21352584,Q1274348
Q21352589,Q1274348
Q21353973,Q130933
Q21353978,Q130933
Q21353983,Q130933
Q21353988,Q130933
Q21353991,Q130933
Q21353996,Q130933
Q21354002,Q130933
Q21354008,Q130933
Q21354015,Q130933
Q21354020,Q130933
Q21354025,Q130933
Q21354029,Q130933
Q21354035,Q130933
Q21354040,Q130933
Q21354046,Q130933
Q21354052,Q130933
Q21354057,Q130933
Q21354062,Q130933
Q21354066,Q130933
Q21354072,Q130933
Q21354075,Q130933
Q21354400,Q214264
Q21356237,Q467068
Q21356243,Q467068
Q21356247,Q467068
Q21356253,Q467068
Q21356414,Q25348
Q21356958,Q253789
Q21357287,Q171563
Q21357855,Q607024
Q21360418,Q81515
Q21361264,Q839524
Q21361446,Q467068
Q21363545,Q1259002
Q21366533,Q1259002
Q21368279,Q27050
Q21368283,Q27050
Q21368287,Q27050
Q21369136,Q20072250
Q2138311,Q774692
Q21400755,Q1263546
Q21400767,Q130933
Q21401282,Q1262700
Q21401391,Q25700
Q21401428,Q129958
Q21401429,Q129958
Q21401447,Q1189709
Q21401450,Q1268230
Q214096,Q13170975
Q21445609,Q995772
Q21445933,Q12060072
Q21446046,Q842378
Q21446797,Q672414
Q21446872,Q839859
Q21447943,Q587527
Q214621,Q768526
Q214627,Q1929497
Q21469894,Q831376
Q2148861,Q550595
Q21515085,Q25769
Q2151646,Q2556351
Q215603,Q11773574
Q21647019,Q12060072
Q21661903,Q23035768
Q2166327,Q945274
Q21680855,Q667490
Q21683188,Q667490
Q21685118,Q667490
Q216855,Q614481
Q2173058,Q666222
Q217472,Q768526
Q217478,Q12060072
Q2181382,Q550595
Q2193716,Q2464776
Q2194418,Q791214
Q21952488,Q21952555
Q21953133,Q21953137
Q21953137,Q748159
Q21964204,Q671699
Q21968152,Q1896265
Q21970152,Q772179
Q21970621,Q671699
Q21970642,Q671699
Q21971227,Q10763352
Q21976037,Q671699
Q21976264,Q850925
Q21976329,Q778366
Q21993939,Q857839
Q21997172,Q666222
Q21997200,Q666222
Q21997222,Q666222
Q2200163,Q667248
Q22026118,Q666222
Q22029354,Q671699
Q22045503,Q666222
Q220586,Q943766
Q22059321,Q333842
Q22063322,Q671699
Q22074517,Q666222
Q22081422,Q671699
Q22081503,Q671699
Q22081514,Q671699
Q22081556,Q671699
Q22081576,Q671699
Q22081743,Q671699
Q22081767,Q671699
Q22081801,Q671699
Q22081851,Q671699
Q22082913,Q671699
Q22082919,Q671699
Q22082927,Q671699
Q22082935,Q671699
Q22082939,Q671699
Q22082941,Q671699
Q22082954,Q671699
Q22082967,Q671699
Q22082978,Q671699
Q22082986,Q671699
Q22085033,Q671699
Q22085036,Q671699
Q22085049,Q671699
Q22085051,Q671699
Q22085053,Q671699
Q22085055,Q671699
Q22085057,Q671699
Q22085058,Q671699
Q22085062,Q671699
Q22085068,Q671699
Q22085072,Q671699
Q22085081,Q671699
Q2209523,Q867433
Q22103025,Q2214725
Q22104217,Q12060072
Q22106188,Q43489
Q22109168,Q581391
Q22110660,Q655569
Q22110663,Q655569
Q22110668,Q655569
Q22111135,Q1059506
Q22111510,Q1471857
Q22111697,Q373870
Q22111917,Q992907
Q22112498,Q10754219
Q22112934,Q427685
Q22113194,Q16981445
Q22113602,Q386521
Q22113618,Q386521
Q22113872,Q20745749
Q22113888,Q20745749
Q22114105,Q655569
Q22114185,Q16985867
Q22117129,Q902469
Q22117249,Q902469
Q221256,Q1175810
Q22140344,Q666222
Q221423,Q614481
Q2216514,Q508859
Q2222911,Q776072
Q22235158,Q250163
Q22236501,Q666222
Q2223789,Q2417877
Q2224525,Q941671
Q2224559,Q646544
Q2224619,Q646544
Q2224640,Q646544
Q2224647,Q2387360
Q2224686,Q2000404
Q2224736,Q2387360
Q22247584,Q666222
Q22247665,Q666222
Q2224788,Q1061396
Q2224937,Q723568
Q2225116,Q777962
Q2225125,Q646544
Q2225132,Q611996
Q2225134,Q221741
Q2225146,Q1061396
Q2225245,Q2387360
Q2225257,Q301153
Q2225328,Q198010
Q2225404,Q15032474
Q2225572,Q671699
Q2225577,Q611996
Q2225715,Q226900
Q2225766,Q226900
Q2225810,Q226900
Q2225846,Q226900
Q2225860,Q226900
Q2225966,Q947937
Q2225977,Q867433
Q2226000,Q772179
Q2226012,Q867433
Q2226027,Q772179
Q2226050,Q1092302
Q2226090,Q867433
Q2226102,Q867433
Q2226106,Q597127
Q2226121,Q859927
Q2226159,Q613598
Q2226171,Q652184
Q2226191,Q226900
Q2226217,Q226900
Q2226255,Q9202459
Q22262555,Q666222
Q2226263,Q10756901
Q2226273,Q669067
Q2226282,Q226900
Q2226296,Q2333853
Q2226334,Q772179
Q2226351,Q367998
Q2226361,Q1187535
Q2226369,Q1067810
Q2226378,Q367998
Q2226385,Q597127
Q2226398,Q597127
Q2226414,Q1159505
Q2226426,Q597127
Q22264385,Q666222
Q2226445,Q867433
Q2226478,Q867433
Q2226500,Q780445
Q2226523,Q780445
Q22265256,Q666222
Q2226540,Q1082554
Q2226550,Q1067810
Q2226599,Q1062173
Q22266087,Q666222
Q2226617,Q597127
Q2226623,Q780445
Q2226653,Q780445
Q2226663,Q597127
Q2226685,Q780445
Q2226693,Q780445
Q2226731,Q780445
Q2226742,Q597127
Q2226753,Q1067810
Q2226761,Q597127
Q2226770,Q780445
Q2226776,Q780445
Q2226784,Q1082554
Q2226813,Q588866
Q2226888,Q867433
Q2227428,Q226900
Q2228229,Q867433
Q22286646,Q611996
Q2229803,Q1234395
Q2229825,Q542585
Q2229881,Q1234395
Q2229892,Q530809
Q2229906,Q1248933
Q2229917,Q1234395
Q2229941,Q695679
Q2229950,Q857319
Q22310317,Q666222
Q22313551,Q666222
Q22340132,Q671699
Q22340136,Q867433
Q22340142,Q671699
Q22340156,Q671699
Q22340178,Q671699
Q22340182,Q671699
Q22340187,Q671699
Q22340245,Q671699
Q22340911,Q666222
Q2234141,Q520316
Q2239527,Q662785
Q22443058,Q780445
Q2247179,Q2565091
Q2247983,Q10758977
Q226120,Q375385
Q22704092,Q581391
Q2273470,Q1089786
Q2284149,Q662785
Q2289858,Q754657
Q22916711,Q550595
Q22917089,Q550595
Q2291744,Q3034620
Q2292470,Q217472
Q22945766,Q1059641
Q22946573,Q23797926
Q22954484,Q774034
Q2296084,Q662785
Q23011699,Q23011700
Q23011700,Q160835
Q23011709,Q23667765
Q23023562,Q188854
Q23035768,Q754660
Q23038442,Q768526
Q23047348,Q1929497
Q23047447,Q1929497
Q23056684,Q10804320
Q23056688,Q10804320
Q23056692,Q10804320
Q2305991,Q613598
Q23072449,Q839859
Q23091457,Q23091409
Q23092160,Q23091959
Q23092810,Q23092388
Q231297,Q333842
Q232590,Q766642
Q232619,Q1066573
Q2339690,Q1924047
Q2341577,Q188854
Q2342726,Q31448
Q23459779,Q22247584
Q23460856,Q22313551
Q2347744,Q662785
Q235052,Q754657
Q2359591,Q508859
Q2361610,Q666222
Q23655859,Q1951184
Q2368417,Q782540
Q23701385,Q205857
Q2382122,Q662785
Q2387360,Q681374
Q239393,Q754657
Q2396322,Q655569
Q2397848,Q510287
Q2398201,Q662785
Q240083,Q29858
Q24030706,Q581391
Q240367,Q943766
Q24037675,Q1471857
Q240445,Q514379
Q2406809,Q1187535
Q2408851,Q1424573
Q2409885,Q1159505
Q241198,Q933654
Q241399,Q844705
Q2414549,Q662785
Q241529,Q1093619
Q2420226,Q611996
Q244189,Q210416
Q244284,Q1006681
Q244320,Q183361
Q244350,Q844655
Q244430,Q1093619
Q244432,Q29564928
Q2447808,Q136358
Q245181,Q859043
Q2454483,Q2071911
Q2454690,Q508859
Q24570440,Q259857
Q2462971,Q662785
Q246468,Q14680
Q2464776,Q666222
Q2465230,Q461021
Q2471281,Q508859
Q2472000,Q764420
Q247228,Q10751371
