id	en_name	ja_name	en_aliases	ja_aliases	img_urls	taxon_rank	taxon_name	parent_taxon	BirdJPBookDB__data_audio_id	BirdJPBookDB__data_birdname	BirdResearchDB_label01_32k_audio_id	BirdResearchDB_label01_32k_birdname	JP	Research
Q206840	Red-necked Phalarope	アカエリヒレアシシギ	{'0': 'Phalaropus lobatus', '1': 'Red-necked Phalarope'}	{}	{'0': 'https://www.wikidata.org/wiki/Q206840#/media/File:Red-necked%20Phalarope.jpg', '1': 'https://www.wikidata.org/wiki/Q206840#/media/File:Phalaropus%20lobatus.jpg'}	Q7432	Phalaropus lobatus	Q253776	2_73	アカエリヒレアシシギ			1	0
Q853058	Galloanserae	キジカモ類	{'0': 'fowl'}	{'0': 'キジカモ小綱'}	{'0': 'https://www.wikidata.org/wiki/Q853058#/media/File:Galloanserae.jpg', '1': 'https://www.wikidata.org/wiki/Q853058#/media/File:Galloanseri2.png'}	Q5868144	Galloanserae	Q19168					0	0
Q211986	Leach’s Storm Petrel	コシジロウミツバメ	"{'0': 'Oceanodroma leucorhoa', '1': ""Leach's Petrel"", '2': 'Leach’s Storm Petrel'}"	{}	{'0': 'https://www.wikidata.org/wiki/Q211986#/media/File:Lesp1.jpg'}	Q7432	Oceanodroma leucorhoa	Q603287	1_10	コシジロウミツバメ			1	0
Q888547	Von Schrenck’s Bittern	オオヨシゴイ	{'0': 'Ixobrychus eurhythmus'}	{}	"{'0': ""https://www.wikidata.org/wiki/Q888547#/media/File:Von%20Schrenck's%20Bittern%20(Ixobrychus%20eurhythmus),%20Central%20Catchment%20Nature%20Reserve,%20Singapore%20-%2020140327.jpg"", '1': ""https://www.wikidata.org/wiki/Q888547#/media/File:Schrenk's%20Bittern%20fem%20-%20Kang%20Kra%20Chan%20-%20Thailand%20S4E4834%20(14235609026).jpg""}"	Q7432	Ixobrychus eurhythmus	Q244078	1_19	オオヨシゴイ			1	0
Q1089134	Megaceryle		{}	{}	{'0': 'https://www.wikidata.org/wiki/Q1089134#/media/File:Belted%20Kingfisher.jpg'}	Q34740	Megaceryle	Q1196087					0	0
Q3214630	Taeniopygia		{}	{}	{'0': 'https://www.wikidata.org/wiki/Q3214630#/media/File:Paxaro%20GDFL26.jpg', '1': 'https://www.wikidata.org/wiki/Q3214630#/media/File:Paxaro%20GDFL27.jpg'}	Q34740	Taeniopygia	Q214462					0	0
Q243761	Scarlet Macaw	コンゴウインコ	{'0': 'Ara macao'}	{}	{'0': 'https://www.wikidata.org/wiki/Q243761#/media/File:Scarlet%20Macaw%20(Ara%20macao)%20-Panama.jpg', '1': 'https://www.wikidata.org/wiki/Q243761#/media/File:Ara%20macao%20-Puntarenas%20Province,%20Costa%20Rica-8.jpg'}	Q7432	Ara macao	Q213984	6_54	コンゴウインコ			1	0
Q2897097	Motacilla alba lugens	ハクセキレイ	{}	{'0': 'タイワンハクセキレイ', '1': 'ホオジロハクセキレイ', '2': 'シベリアハクセキレイ', '3': 'ネパールハクセキレイ', '4': 'メンガタハクセキレイ'}	{'0': 'https://www.wikidata.org/wiki/Q2897097#/media/File:Motacilla%20alba%20-Hong%20Kong-8.jpg'}	Q68947	Motacilla alba lugens	Q25399	4_12	ホオジロハクセキレイ	data01/hakuseki_090318b_hitachi_hirano.0003.wav	ハクセキレイ	1	1
Q3759722	Agropsar		{}	{}	{'0': 'https://www.wikidata.org/wiki/Q3759722#/media/File:Purple-backed%20Starling.jpg'}	Q34740	Agropsar	Q185237					0	0
Q249826	Bambusicola		{}	{}	{'0': 'https://www.wikidata.org/wiki/Q249826#/media/File:Bambusicola%20thoracicus1.jpg', '1': 'https://www.wikidata.org/wiki/Q249826#/media/File:Bambusicola%20fytchii%20-short%20grass-8.jpg'}	Q34740	Bambusicola	Q9304816					0	0
Q20949808	Chinese Blackbird	クロウタドリ	{'0': 'Chinese blackbird', '1': 'Chinese Blackbird'}	{}	{'0': 'https://www.wikidata.org/wiki/Q20949808#/media/File:Turdus%20merula%20mandarinus%20Hong%20Kong%201.jpg', '1': 'https://www.wikidata.org/wiki/Q20949808#/media/File:Turdus%20merula%20mandarinus%20Hong%20Kong%206.jpg'}	Q7432	Turdus mandarinus	Q115661	4_53	クロウタドリ			1	0
Q143284	Black Woodpecker	クマゲラ	{'0': 'Dryocopus martius'}	{}	{'0': 'https://www.wikidata.org/wiki/Q143284#/media/File:BlackWoods.jpg', '1': 'https://www.wikidata.org/wiki/Q143284#/media/File:Schwaarzspiecht.jpg', '2': 'https://www.wikidata.org/wiki/Q143284#/media/File:2016.08.27.-14-Viernheimer%20Heide-Viernheim--Schwarzspecht-Weibchen.jpg'}	Q7432	Dryocopus martius	Q132916	3_65	クマゲラ	data01/kumagera_110326_tomakomai_namba.0004.wav	クマゲラ	1	1
Q121221	Budgerigar	セキセイインコ	{'0': 'Melopsittacus undulatus', '1': 'budgie'}	{'0': '背黄青鸚哥', '1': '脊黄青鸚哥'}	{'0': 'https://www.wikidata.org/wiki/Q121221#/media/File:Budgerigar-male-strzelecki-qld.jpg', '1': 'https://www.wikidata.org/wiki/Q121221#/media/File:Budgerigar-strzelecki-qld.jpg'}	Q7432	Melopsittacus undulatus	Q10792667	6_52	セキセイインコ			1	0
Q25510	Accipitridae	タカ科	{}	{'0': 'マダガスカルヘビワシ属', '1': 'タカ亜科', '2': 'タカ科 (Sibley)'}	{'0': 'https://www.wikidata.org/wiki/Q25510#/media/File:Spizaetus-ornatus-001.jpg'}	Q35409	Accipitridae	Q21736					0	0
Q27244	Caprimulgidae	ヨタカ科	{'0': 'the nightjar family'}	{'0': 'ヨタカ亜科', '1': 'ヨタカ上科', '2': 'ヨタカ小目', '3': 'ヨタカ目'}	{'0': 'https://www.wikidata.org/wiki/Q27244#/media/File:Nightjar%20in%20flight%20-%20AAP065A.jpg', '1': 'https://www.wikidata.org/wiki/Q27244#/media/File:Common%20Nighthawk.jpg'}	Q35409	Caprimulgidae	Q26125					0	0
Q170723	Ruddy Shelduck	アカツクシガモ	{'0': 'Tadorna ferruginea', '1': 'Brahminy Duck', '2': 'Brahminy Shelduck', '3': 'Ruddy Shelduck'}	{}	{'0': 'https://www.wikidata.org/wiki/Q170723#/media/File:Ruddy%20shelduck%20David%20Raju.jpg', '1': 'https://www.wikidata.org/wiki/Q170723#/media/File:Ruddy%20Shelduck%20(Tadorna%20ferruginea)-%20Female%20at%20Bharatpur%20I%20IMG%205336.jpg'}	Q7432	Tadorna ferruginea	Q46316	1_47	アカツクシガモ			1	0
Q26125	Caprimulgiformes	ヨタカ目	{'0': 'caprimulgiformes'}	{'0': 'ヨタカ亜目'}	{'0': 'https://www.wikidata.org/wiki/Q26125#/media/File:Caprimulgus%20macrurus.jpg'}	Q36602	Caprimulgiformes	Q5198624					0	0
Q368505	Dusky Warbler	ムジセッカ	{'0': 'Phylloscopus fuscatus', '1': 'Dusky Warbler'}	{}	{'0': 'https://www.wikidata.org/wiki/Q368505#/media/File:Dusky%20Warbler.jpg'}	Q7432	Phylloscopus fuscatus	Q214627			data01/mujisekka_140423_biwako_murao.0000.wav	ムジセッカ	0	1
Q1034960	Brown Dipper	カワガラス	{'0': 'Brown Dipper'}	{}	{'0': 'https://www.wikidata.org/wiki/Q1034960#/media/File:Cinclus%20pallasii%20(side).JPG'}	Q7432	Cinclus pallasii	Q192575	4_29	カワガラス	data01/kawagarasu2_131015_nikko_hirano.0002.wav	カワガラス	1	1
Q208716	Regulus	キクイタダキ属	{'0': 'Kinglet', '1': 'Crests'}	{'0': 'キクイタダキ科'}	{'0': 'https://www.wikidata.org/wiki/Q208716#/media/File:Regulus%20regulus%20japonensis%20face.JPG'}	Q34740	Regulus	Q14254250					0	0
Q214462	Estrildidae	カエデチョウ科	{'0': 'Estrildid finch'}	{'0': 'カエデチョウ族', '1': 'セキレイ科'}	{'0': 'https://www.wikidata.org/wiki/Q214462#/media/File:Red%20browed%20finch02.jpg', '1': 'https://www.wikidata.org/wiki/Q214462#/media/File:Paxaro%20GDFL27.jpg'}	Q35409	Estrildidae	Q749521					0	0
Q19598306	Otidimorphae		{}	{}	{'0': 'https://www.wikidata.org/wiki/Q19598306#/media/File:Chestnut-breasted%20Malkoha2.jpg'}		Otidimorphae	Q22285909					0	0
Q26626	Scolopacidae	シギ科	{'0': 'the sandpipers'}	{'0': 'シギ', '1': '鷸', '2': '鴫'}	{'0': 'https://www.wikidata.org/wiki/Q26626#/media/File:Waldschnepfe%20(scolopax%20rusticola)%20-%20Spiekeroog,%20Nationalpark%20Niedersächsisches%20Wattenmeer.jpg', '1': 'https://www.wikidata.org/wiki/Q26626#/media/File:Bristle-thighed%20Curlew.jpg', '2': 'https://www.wikidata.org/wiki/Q26626#/media/File:Calidris%20alpina%20alpina,%20Riga,%20Latvia%201.jpg', '3': 'https://www.wikidata.org/wiki/Q26626#/media/File:Catoptrophorus%20semipalmatus%20edit.jpg'}	Q35409	Scolopacidae	Q25978					0	0
Q25402	Mute Swan	コブハクチョウ	{'0': 'Cygnus olor'}	{}	{'0': 'https://www.wikidata.org/wiki/Q25402#/media/File:Mute%20Swan%20Emsworth2.JPG'}	Q7432	Cygnus olor	Q29564928			data01/kobuhakuchou_071129_kagoshima_kaji.0000.wav	コブハクチョウ	0	1
Q253644	Bonin White-eye	メグロ	{'0': 'Apalopteron familiare'}	{}	{'0': 'https://www.wikidata.org/wiki/Q253644#/media/File:Bonin%20White-Eye.PNG'}	Q7432	Apalopteron familiare	Q10734465	5_42	メグロ	data01/meguro_110416_hahajima_mju.0011.wav	メグロ	1	1
Q2998692	Northern Hawk Cuckoo	ジュウイチ	{'0': 'Rufous hawk-cuckoo', '1': 'Northern Hawk-cuckoo', '2': 'Northern Hawk Cuckoo'}	{}	{'0': 'https://www.wikidata.org/wiki/Q2998692#/media/File:BirdsAsiaJohnGoVIGoul%200180.jpg'}	Q7432	Hierococcyx hyperythrus	Q2511641	3_31	ジュウイチ	data01/juichi_090527_shioya_hirano.0000.wav	ジュウイチ	1	1
Q28236	European Herring Gull	セグロカモメ	{'0': 'Herring Gull', '1': 'Larus argentatus'}	{}	{'0': 'https://www.wikidata.org/wiki/Q28236#/media/File:Larus%20argentatus,%20Vaxholm,%20Stockholm,%20Sweden%20(14923468303).jpg', '1': 'https://www.wikidata.org/wiki/Q28236#/media/File:Larus%20argentatus01.jpg'}	Q7432	Larus argentatus	Q1887740	3_03	セグロカモメ	data01/segurokamome_110208_sado_mju.0001.wav	セグロカモメ	1	1
Q36197	Scaly-breasted Munia	シマキンパラ	{'0': 'nutmeg mannikin', '1': 'Lonchura punctulata', '2': 'Scaly-breasted Munia'}	{}	{'0': 'https://www.wikidata.org/wiki/Q36197#/media/File:Scaly%20breasted%20Munia%20I%20IMG%204769.jpg'}	Q7432	Lonchura punctulata	Q852860	6_71	シマキンパラ			1	0
Q18000478	Xenus		{}	{}	{'0': 'https://www.wikidata.org/wiki/Q18000478#/media/File:Xenus%20cinereus%20(Alnus).jpg'}	Q34740	Xenus	Q26626					0	0
Q28450	Green Sandpiper	クサシギ	{'0': 'Tringa ochropus', '1': 'Green Sandpiper'}	{}	{'0': 'https://www.wikidata.org/wiki/Q28450#/media/File:Tringa%20ochropus%20Llobregat%202.jpg', '1': 'https://www.wikidata.org/wiki/Q28450#/media/File:Tringa%20ochropus%201%20(Marek%20Szczepanek).jpg'}	Q7432	Tringa ochropus	Q41972			data01/kusashigi_071107_watarase_hirano.0005.wav	クサシギ	0	1
Q2869566	Eastern Crowned Warbler	センダイムシクイ	{'0': 'Phylloscopus coronatus', '1': 'Eastern Crowned Warbler'}	{}	{'0': 'https://www.wikidata.org/wiki/Q2869566#/media/File:Phylloscopus%20coronatus.jpg'}	Q7432	Phylloscopus coronatus	Q214627	5_11	センダイムシクイ	data01/sendai_040503_kokubunji_mju.0000.wav	センダイムシクイ	1	1
Q25909	Riparia riparia	ショウドウツバメ	{'0': 'bank swallow', '1': 'sand martin', '2': 'collared sand martin', '3': 'bank martin'}	{}	{'0': 'https://www.wikidata.org/wiki/Q25909#/media/File:Riparia%20riparia%20-Markinch,%20Fife,%20Scotland%20-flying-8-4c.jpg', '1': 'https://www.wikidata.org/wiki/Q25909#/media/File:Riparia%20riparia.jpg'}	Q7432	Riparia riparia	Q901041	4_03	ショウドウツバメ			1	0
Q27075597	Asian Pied Starling	ホオジロムクドリ	{'0': 'Asian Pied Starling'}	{}	{'0': 'https://www.wikidata.org/wiki/Q27075597#/media/File:Asian%20Pied%20Starling%20I%20IMG%205520.jpg'}	Q7432	Gracupica contra	Q3770027	6_76	ホオジロムクドリ			1	0
Q191628	Lesser White-fronted Goose	カリガネ	{'0': 'Anser erythropus', '1': 'Lesser White-fronted Goose'}	{}	{'0': 'https://www.wikidata.org/wiki/Q191628#/media/File:Fjällgås,%20Sätunaviken,%20Östergötland,%20April%202017%201.jpg', '1': 'https://www.wikidata.org/wiki/Q191628#/media/File:Anser%20erythropus%20MHNT.ZOO.2010.11.14.6.jpg'}	Q7432	Anser erythropus	Q183361	1_39	カリガネ			1	0
Q206089	Lesser Whitethroat	コノドジロムシクイ	{'0': 'Sylvia curruca', '1': 'Lesser Whitethroat'}	{}	{'0': 'https://www.wikidata.org/wiki/Q206089#/media/File:Славка-завирушка,%20или%20славка-мельничек%20(Sylvia%20curruca).jpg', '1': 'https://www.wikidata.org/wiki/Q206089#/media/File:Sylvia%20curruca%20NRM.jpg'}	Q7432	Sylvia curruca	Q12814009	5_01	コノドジロムシクイ			1	0
Q774034	Locustellidae	センニュウ科	{'0': 'Megaluridae'}	{}	{'0': 'https://www.wikidata.org/wiki/Q774034#/media/File:Striated%20Grassbird%20(Megalurus%20palustris)%20in%20Kolkata%20W%20IMG%203399.jpg', '1': 'https://www.wikidata.org/wiki/Q774034#/media/File:Flodsangare.jpg'}	Q35409	Locustellidae	Q25341					0	0
