id,Label
Q109563387,Q109563387_Ornismya vestita
Q109563397,Q109563397_Perdix bicalcarata
Q109563529,Q109563529_Tetrao cinereus
Q109563530,Q109563530_Tetrao cupido
Q109563531,Q109563531_Tetrao madagarensis
Q109563532,Q109563532_Tetrao paradoxa
Q109563533,Q109563533_Tetrao suscitator
Q109578149,Q109578149_Crax cumanensis
Q109578153,Q109578153_Crax tomentosa
Q109578154,Q109578154_Crax pipile
Q109578300,Q109578300_Ornismya clemenciae
Q109578301,Q109578301_Ornismya delphinae
Q109578302,Q109578302_Ornismya longirostris
Q109578303,Q109578303_Ornismya pamela
Q109578304,Q109578304_Ornismya underwoodii
Q109578306,Q109578306_Ortyx ocellatus
Q109578316,Q109578316_Perdix orientalis
Q109578317,Q109578317_Perdix thoracicus
Q109578459,Q109578459_Tetrao bicalcaratus
Q109578461,Q109578461_Tetrao caspius
Q109578462,Q109578462_Tetrao scoticus
Q109578463,Q109578463_Tetrao pondicerianus
Q109578464,Q109578464_Tetrao urophasianus
Q109578466,Q109578466_Tetrao variegatus
Q110257379,Q110257379_Tropicoperdix tonkinensis
Q110257380,Q110257380_Tropicoperdix charltonii
Q110257381,Q110257381_Tropicoperdix graydoni
Q110257384,Q110257384_Campylopterus diamantinensis
Q110257393,Q110257393_Amazilia oenone
Q110257395,Q110257395_Amazilia julie
Q110257398,Q110257398_Amazilia eliciae
Q110257400,Q110257400_Amazilia cyanus
Q110257401,Q110257401_Amazilia chrysura
Q110257418,Q110257418_Amazilia coeruleogularis
Q110257419,Q110257419_Amazilia lilliae
Q110257420,Q110257420_Amazilia goudoti
Q11085824,Q11085824_Apterygiformes
Q1113470,Q1113470_Rheiformes
Q11179724,Q11179724_Lophura leucomelana
Q1127757,Q1127757_Mountaingem
Q11296652,Q11296652_キジ亜目
Q1130092,Q1130092_ムラサキケンバネハチドリ
Q1131174,Q1131174_Loja Hummingbird
Q1131762,Q1131762_Anomalopteryx
Q1151428,Q1151428_トラフシギダチョウ
Q1151700,Q1151700_Zhongyuanus
Q11704361,Q11704361_Tetrao urogallus aquitanicus
Q11704363,Q11704363_Tetrao urogallus karelicus
Q11704364,Q11704364_Tetrao urogallus major
Q11704365,Q11704365_Tetrao urogallus pleskei
Q11704366,Q11704366_Tetrao urogallus taczanowskii
Q11704367,Q11704367_Tetrao urogallus urogallus
Q117686,Q117686_アカコクジャク
Q11777078,Q11777078_Meleagrididae
Q11841018,Q11841018_Amazilia rondoniae
Q1187277,Q1187277_ミドリビタイテリハチドリ
Q1189991,Q1189991_アオノドハチドリ
Q1189999,Q1189999_ハサミオハチドリ
Q1190011,Q1190011_ウロコハチドリ
Q1190882,Q1190882_バヌアツツカツクリ
Q1193048,Q1193048_クビワウズラ
Q1193067,Q1193067_Francolinus schlegelii
Q1193305,Q1193305_firecrown
Q1193783,Q1193783_ニコバルツカツクリ
Q12214032,Q12214032_Rheae
Q12218376,Q12218376_Casuariimorphae
Q12232395,Q12232395_Craci
Q12236827,Q12236827_Apterygimorphae
Q12241512,Q12241512_Crypturi
Q12248671,Q12248671_Struthionimorphae
Q122868,Q122868_シロハラハチドリ
Q1232156,Q1232156_Peliperdix
Q12355980,Q12355980_Tinamiformes
Q1238736,Q1238736_Polyerata
Q1241572,Q1241572_Meleagridinae
Q1258916,Q1258916_クロビタイウズラ
Q1258923,Q1258923_ブロンズエメラルドハチドリ
Q1259313,Q1259313_シロアゴサファイアハチドリ
Q1259321,Q1259321_オジロケンバネハチドリ
Q1259465,Q1259465_キンボウシハチドリ
Q1259671,Q1259671_ツカツクリ
Q1259727,Q1259727_シロガシラシャクケイ
Q1259880,Q1259880_チャミミウズラ
Q1259911,Q1259911_アカガオシャクケイ
Q1260750,Q1260750_アカハネシャコ
Q1260889,Q1260889_ホシノドミズベハチドリ
Q1260902,Q1260902_アカハシエメラルドハチドリ
Q1260930,Q1260930_ミミグロウズラ
Q1260944,Q1260944_アシナガコリン
Q1261008,Q1261008_ノドグロテリハチドリ
Q1261158,Q1261158_Gunnison Grouse
Q1261205,Q1261205_アカシャクケイ
Q1261221,Q1261221_ネブリナテリオハチドリ
Q1261529,Q1261529_ムネムラサキエメラルドハチドリ
Q1261602,Q1261602_アカオカマハシハチドリ
Q1261619,Q1261619_チャエリシャコ
Q1261723,Q1261723_ウスズミヒゲハチドリ
Q1261736,Q1261736_ミズベハチドリ
Q1261802,Q1261802_ヒノマルテリハチドリ
Q1261883,Q1261883_ドウボウシハチドリ
Q1261919,Q1261919_ヌマシャコ
Q1262031,Q1262031_アレチシギダチョウ
Q1262269,Q1262269_ハゲノドシャコ
Q1262276,Q1262276_ワイゲオツカツクリ
Q1262423,Q1262423_イシシャコ
Q1262693,Q1262693_ヒメウズラシギダチョウ
Q1262766,Q1262766_オジロエメラルドハチドリ
Q1262817,Q1262817_チャエリツカツクリ
Q1263004,Q1263004_タンザニアアカノドシャコ
Q12630785,Q12630785_Eudromia olsoni
Q12630820,Q12630820_Euryapteryx
Q1263283,Q1263283_ドウボウシユミハチドリ
Q1263371,Q1263371_シロタマシャコ
Q1263378,Q1263378_ノドジロウズラ
Q1263482,Q1263482_ヤブウズラ
Q1263634,Q1263634_ワキジロヤマハチドリ
Q1263655,Q1263655_サンタマルタエリマキチビハチドリ
Q1263774,Q1263774_バラノドチビハチドリ
Q12638578,Q12638578_Nothura parvula
Q12638579,Q12638579_Nothura paludosa
Q1264029,Q1264029_ヒゲウズラ
Q1264058,Q1264058_オナガケンバネハチドリ
Q1264146,Q1264146_ニシアカバネシギダチョウ
Q1264380,Q1264380_アカバネテリハチドリ
Q1264398,Q1264398_ヒゲシャクケイ
Q1264425,Q1264425_モリシギダチョウ
Q1264439,Q1264439_ヒメシギダチョウ
Q1264455,Q1264455_ミヤマエゾライチョウ
Q1264540,Q1264540_ムナグロヤマハチドリ
Q1264730,Q1264730_ハイバラミズベハチドリ
Q1265085,Q1265085_アイガシラハチドリ
Q1265206,Q1265206_シロハラチビハチドリ
Q1265238,Q1265238_コシジマシギダチョウ
Q1265466,Q1265466_アメシストニジハチドリ
Q1265474,Q1265474_ルリムネケンバネハチドリ
Q1265542,Q1265542_コバシシギダチョウ
Q1265587,Q1265587_タマフウズラ
Q1265775,Q1265775_ヒノドテリオハチドリ
Q1265835,Q1265835_ルリボウシエメラルドハチドリ
Q1265902,Q1265902_Sooty Grouse
Q1265911,Q1265911_ミドリボウシテリハチドリ
Q1266045,Q1266045_ナタールキジシャコ
Q1266053,Q1266053_エボシツカツクリ
Q1266212,Q1266212_ウロコテリオハチドリ
Q1266282,Q1266282_アカアシシギダチョウ
Q1266303,Q1266303_ムネアカハチドリ
Q1266344,Q1266344_マダラウズラ
Q1266435,Q1266435_ズグロシギダチョウ
Q1266683,Q1266683_クロガオシャコ
Q1266692,Q1266692_サファイアハチドリ
Q1266737,Q1266737_フチオハチドリ
Q1266744,Q1266744_フンボルトサファイアハチドリ
Q1267247,Q1267247_ハゲガオホウカンチョウ
Q1267444,Q1267444_キコブホウカンチョウ
Q1267591,Q1267591_Francolinus sephaena
Q1267803,Q1267803_ゴマダラシギダチョウ
Q1267836,Q1267836_クロアシシャクケイ
Q1268074,Q1268074_ハシナガハチドリ
Q1268165,Q1268165_ハイナンミヤマテッケイ
Q1268200,Q1268200_チャミミシャコ
Q1268396,Q1268396_マレイルシャクケイ
Q1268473,Q1268473_コウゲンシャコ
Q1268508,Q1268508_ドウイロテリオハチドリ
Q1268546,Q1268546_ダーウィンシギダチョウ
Q1268606,Q1268606_スミレビタイテリハチドリ
Q1268985,Q1268985_シロマユオナガウズラ
Q1269019,Q1269019_オナガウズラ
Q1269109,Q1269109_セグロトゲハシハチドリ
Q1269318,Q1269318_エリマキチビハチドリ
Q1269438,Q1269438_フジノドテリオハチドリ
Q1269554,Q1269554_Francolinus swierstrai
Q1269697,Q1269697_アマゾンシギダチョウ
Q1269742,Q1269742_ムナジロチビハチドリ
Q1269968,Q1269968_コシアカユミハチドリ
Q1269976,Q1269976_チャノドユミハチドリ
Q1270211,Q1270211_ハリオハチドリ
Q1270229,Q1270229_キアシシギダチョウ
Q1270356,Q1270356_アゴヒゲハチドリ
Q1270445,Q1270445_アンデスシギダチョウ
Q1270453,Q1270453_New Guinea Scrubfowl
Q1271070,Q1271070_アカハシミヤマテッケイ
Q1271333,Q1271333_クロビタイサファイアハチドリ
Q1271821,Q1271821_ブロンズハチドリ
Q1271890,Q1271890_ニジハチドリ
Q1271908,Q1271908_スミレセンニョハチドリ
Q1271939,Q1271939_ムネアカシギダチョウ
Q1272411,Q1272411_Orange River Francolin
Q1272427,Q1272427_キンミドリテリオハチドリ
Q1272481,Q1272481_ムジボウシノドフサハチドリ
Q1272591,Q1272591_ハシボソシギダチョウ
Q1273072,Q1273072_クロハラオジロハチドリ
Q1273138,Q1273138_シロスジエメラルドハチドリ
Q1273179,Q1273179_コガネオサファイアハチドリ
Q1273414,Q1273414_イワヤブウズラ
Q1273473,Q1273473_ユキムネエメラルドハチドリ
Q1273505,Q1273505_クサビオヤマハチドリ
Q1273659,Q1273659_クサビオケンバネハチドリ
Q1273779,Q1273779_Grey-winged Francolin
Q1274275,Q1274275_スナシャコ
Q1274605,Q1274605_フタスジシャコ
Q1274709,Q1274709_オジロハチドリ
Q1275114,Q1275114_Francolinus swainsonii
Q1275146,Q1275146_Francolinus capensis
Q1275212,Q1275212_オウゴンサファイアハチドリ
Q1275889,Q1275889_ヒゲシャコ
Q1285732,Q1285732_Saucerottia
Q1286431,Q1286431_Scleroptila
Q129059,Q129059_ヨーロッパオオライチョウ
Q13108171,Q13108171_Aramidae
Q131477,Q131477_ガストルニス属
Q13218593,Q13218593_Shanxiornis
Q132731,Q132731_ゲニオルニス
Q133956,Q133956_ジェホロルニス
Q13420329,Q13420329_Catreus
Q135464,Q135464_Xenoperdix
Q136317,Q136317_Bullockornis
Q13749836,Q13749836_Lerwa
Q1387028,Q1387028_アオアシミヤマテッケイ
Q142651,Q142651_コリンウズラ
Q143941,Q143941_ハバシハチドリ
Q14566629,Q14566629_Trogoniformes
Q1463540,Q1463540_Tympanuchus
Q14644435,Q14644435_Amazilia alfaroana
Q14690166,Q14690166_Rheinardia
Q14920546,Q14920546_Galloanserimorphae
Q14955525,Q14955525_Crypturellus reai
Q15106192,Q15106192_Sappho
Q15232109,Q15232109_Grues
Q15331248,Q15331248_Chrysolampis
Q15578675,Q15578675_Adelomyia
Q155878,Q155878_クロライチョウ
Q15632492,Q15632492_Ichthyornithiformes
Q1569770,Q1569770_ダチョウ目
Q15731102,Q15731102_Pangalliformes
Q15865425,Q15865425_Emeus
Q15865426,Q15865426_Dinornithidae
Q15873882,Q15873882_Chlorestes
Q15875812,Q15875812_Goldmania
Q15879568,Q15879568_Myrtis
Q15881283,Q15881283_Rhodopis
Q16114391,Q16114391_Eudromia intermedia
Q162029,Q162029_ライチョウ属
Q16243047,Q16243047_Archaeornithipus
Q16537759,Q16537759_Coturnicini
Q16548850,Q16548850_Gallini
Q16567148,Q16567148_Polytminae
Q16570728,Q16570728_Lampornithini
Q16572676,Q16572676_Lophophorini
Q16587520,Q16587520_Phasianini
Q16610353,Q16610353_Tetraonini
Q16611446,Q16611446_Trochilini
Q16687464,Q16687464_Ambiortiformes
Q16687592,Q16687592_Coturnipes cooperi
Q16687765,Q16687765_Filholornis
Q16688707,Q16688707_Paleophasianus
Q16688748,Q16688748_Percolinus venablesi
Q16724410,Q16724410_Numida
Q16735964,Q16735964_アウストラロルニス
Q16910814,Q16910814_Gaviomorphae
Q17114190,Q17114190_Neanis
Q171953,Q171953_ホロホロチョウ科
Q17273280,Q17273280_Cuculimorphae
Q1760766,Q1760766_Vietnam Partridge
Q17747564,Q17747564_Struthiornithiformes
Q178702,Q178702_カラフトライチョウ
Q179112,Q179112_Chrysolophus
Q182761,Q182761_エゾライチョウ
Q18341494,Q18341494_Megapodius stairi
Q1837596,Q1837596_ホウカンチョウ目
Q18379868,Q18379868_Oreopyra
Q18536564,Q18536564_Lesbiinae
Q18604631,Q18604631_Gallinuloididae
Q18609049,Q18609049_Songziidae
Q18609856,Q18609856_Ludiortyx
Q18640249,Q18640249_Aptornithidae
Q1869243,Q1869243_ウズラ属
Q18718823,Q18718823_Megalapteryx
Q18718824,Q18718824_Megalapterygidae
Q1872867,Q1872867_Sira Curassow
Q1877676,Q1877676_Margaroperdix
Q18889854,Q18889854_Franklin's grouse
Q1897577,Q1897577_Black-billed Streamertail
Q19055,Q19055_オジロライチョウ
Q19056,Q19056_ハリモミライチョウ
Q19068,Q19068_ホソオライチョウ
Q19163,Q19163_modern birds
Q19166,Q19166_古顎類
Q19168,Q19168_新顎類
Q19170,Q19170_平胸類
Q1944830,Q1944830_ノドジロコリン
Q19551,Q19551_ヒメソウゲンライチョウ
Q19567380,Q19567380_Lithornithiformes
Q19598162,Q19598162_Notopalaeognathae
Q19630,Q19630_ソウゲンライチョウ
Q19776308,Q19776308_Sapeornis
Q19776310,Q19776310_Omnivoropterygiformes
Q19789329,Q19789329_Sylviornithidae
Q19896718,Q19896718_Anserimorphae
Q19904315,Q19904315_Amitabha
Q199087,Q199087_チャカザリハチドリ
Q19944890,Q19944890_Rollulinae
Q19961788,Q19961788_Gallomorphae
Q19962640,Q19962640_Picimorphes
Q19966172,Q19966172_Grui
Q19966787,Q19966787_Ralli
Q20020647,Q20020647_Andean blossomcrown
Q20072173,Q20072173_Cladornis pachypus
Q20072186,Q20072186_Cyrtonyx tedfordi
Q20072359,Q20072359_Paraortygidae
Q20097931,Q20097931_Fluvioviridavidae
Q201240,Q201240_ライチョウ亜科
Q20160863,Q20160863_Cladornithidae
Q20161975,Q20161975_Eutelornis
Q2032066,Q2032066_Upupae
Q2033411,Q2033411_古鳥類
Q2039333,Q2039333_Malaysian Partridge
Q204066,Q204066_ニッケイハチドリ
Q2048635,Q2048635_ドロモルニス
Q2056866,Q2056866_Rhizothera
Q205930,Q205930_ライチョウ
Q2061919,Q2061919_Chalcostigma
Q20679105,Q20679105_Lophogallus
Q20717861,Q20717861_Laornithidae
Q20719997,Q20719997_マダラシャコ
Q20727609,Q20727609_Anisolornis
Q20728897,Q20728897_Coturnipes
Q20729349,Q20729349_Minggangia
Q20729579,Q20729579_Percolinus
Q20729774,Q20729774_Smiliornis
Q20730092,Q20730092_Talantatos
Q20731308,Q20731308_Telecrex
Q20731309,Q20731309_Numidinae
Q20731723,Q20731723_Tshulia
Q20740,Q20740_サイチョウ目
Q20830886,Q20830886_クロアシアカノドシャコ
Q2087629,Q2087629_始祖鳥科
Q20991814,Q20991814_Jeholornithiformes
Q21078820,Q21078820_Megavitiornis
Q21078871,Q21078871_Proagriocharis
Q21078895,Q21078895_Praeornis
Q21078901,Q21078901_Rhegminornis
Q21197421,Q21197421_Admirable Hummingbird
Q21216077,Q21216077_Saurornithes
Q21218937,Q21218937_Anomalopteryginae
Q21220594,Q21220594_Dinornithinae
Q21223267,Q21223267_Emeinae
Q21226867,Q21226867_Popelairia
Q212526,Q212526_トリニダードナキシャクケイ
Q21252689,Q21252689_Crex nigra
Q21267081,Q21267081_Heliactin bilopha
Q21276404,Q21276404_Leucippus hypostictus
Q21291219,Q21291219_Parvigruidae
Q21291594,Q21291594_Remiornithidae
Q21292359,Q21292359_Eremopezidae
Q21292514,Q21292514_Praeornithiformes
Q21306841,Q21306841_Trochilus ourissa
Q21306845,Q21306845_Trochilus forficatus
Q21308826,Q21308826_Rheinardia nigrescens
Q21320430,Q21320430_Meleagris cristata
Q21326338,Q21326338_Oreotrochilus stolzmanni
Q21334133,Q21334133_Tetraogallini
Q21345343,Q21345343_Callipepla squamata squamata
Q21351934,Q21351934_Yandangithidae
Q21351946,Q21351946_Liaoxiornithidae
Q21351973,Q21351973_Gansuiformes
Q21351983,Q21351983_Palaeocursornithiformes
Q21352712,Q21352712_Quercymegapodiidae
Q213536,Q213536_ツカツクリ科
Q21363555,Q21363555_Odontophorus capueira plumbeicollis
Q21369065,Q21369065_Gradiornis
Q21369068,Q21369068_Pumiliornis
Q21400383,Q21400383_Qianshanornithidae
Q21406866,Q21406866_Synoicus
Q21446235,Q21446235_Barawertornis
Q21447698,Q21447698_Emeidae
Q2163058,Q2163058_Ptilopachus
Q21651,Q21651_カモ目
Q21659,Q21659_キジ目
Q2193519,Q2193519_ハイナンコクジャク
Q21996167,Q21996167_Palaeotididae
Q2209249,Q2209249_ビアクツカツクリ
Q22111932,Q22111932_Bullockornis planei
Q22113603,Q22113603_Megapodius wallacei
Q221209,Q221209_Colibri
Q222951,Q222951_ヤケイ属
Q223475,Q223475_ベネズエラフタオハチドリ
Q2281160,Q2281160_Falcipennis
Q22933805,Q22933805_Phasianoidea
Q23148706,Q23148706_Lestornis crassipes
Q23307870,Q23307870_Genyornis newtoni
Q2330918,Q2330918_Neoaves
Q23498593,Q23498593_Perdix swainsonii
Q23875376,Q23875376_Psittacopedidae
Q2389650,Q2389650_Sarothruridae
Q2415068,Q2415068_Piping guan
Q2432613,Q2432613_Eulipoa
Q2438740,Q2438740_Stellula
Q2442601,Q2442601_Ilbandornis
Q248520,Q248520_マメシギダチョウ
Q249826,Q249826_Bambusicola
Q249947,Q249947_ガーネットハチドリ
Q249974,Q249974_オナガハチドリ
Q2508347,Q2508347_Ensifera
Q25095810,Q25095810_Shandongornis
Q25095811,Q25095811_Linquornis
Q25096524,Q25096524_Vastanavis
Q251575,Q251575_Phlogophilus
Q251765,Q251765_ミコシギダチョウ
Q251842,Q251842_ホロホロチョウ
Q25222,Q25222_フクロウ目
Q25261964,Q25261964_Rectes
Q25261966,Q25261966_Rectes nigrescens
Q25261985,Q25261985_Rectes cristata
Q25268830,Q25268830_Francolinus harwoodi
Q25269458,Q25269458_ニセアカハネシャコ
Q25269619,Q25269619_Perdix gutturalis
Q25270064,Q25270064_Perdix levaillantoides
Q25270207,Q25270207_Scleroptila levaillantoides
Q252851,Q252851_オグロエメラルドハチドリ
Q25305236,Q25305236_Odontoanserae
Q253499,Q253499_ラッパチョウ属
Q25365,Q25365_ツル
Q25400322,Q25400322_Polyplectronini
Q25420258,Q25420258_Paraortyx
