Source,Label,Target
Q1082395,Q1082395_アカノドナキシャクケイ,Q2415068
Q10823961,Q10823961_Taoniscus,Q19172
Q10823969,Q10823969_Taphrolesbia,Q43624
Q10823971,Q10823971_Taphrospilus,Q43624
Q10825020,Q10825020_Thaumastura,Q43624
Q10826908,Q10826908_Tilmatura,Q43624
Q1083213,Q1083213_Selasphorus,Q1073958
Q10832159,Q10832159_Urochroa,Q43624
Q1088357,Q1088357_Talegalla,Q213536
Q1088385,Q1088385_Woodnymph,Q1073958
Q1089078,Q1089078_ハシナガシギダチョウ,Q929516
Q1089119,Q1089119_Phaethornis,Q741604
Q1089307,Q1089307_Oreophasis,Q3374711
Q1092111,Q1092111_ヘルメットハチドリ,Q10803544
Q1093509,Q1093509_シロマダラウズラ,Q388322
Q1093526,Q1093526_サザナミシャコ,Q844415
Q1094420,Q1094420_Urosticte,Q1073958
Q109557009,Q109557009_Heliomaster spectabilis,Q430821
Q109557044,Q109557044_Tetrao capensis,Q756174
Q109563060,Q109563060_Amazilia xantusii,Q455997
Q109563261,Q109563261_Doricha bryantae,Q387610
Q109563374,Q109563374_Oreopyra cinereicauda,Q18379868
Q109563379,Q109563379_Ornismya amazilia,Q27960090
Q109563380,Q109563380_Ornismya brevirostris,Q27960090
Q109563381,Q109563381_Ornismya cyanocephalus,Q27960090
Q109563382,Q109563382_Ornismya canivetii,Q27960090
Q109563383,Q109563383_Ornismya lactea,Q27960090
Q109563384,Q109563384_Ornismya lumachella,Q27960090
Q109563385,Q109563385_Ornismya ricordii,Q27960090
Q109563386,Q109563386_Ornismya sasin,Q27960090
Q109563387,Q109563387_Ornismya vestita,Q27960090
Q109563397,Q109563397_Perdix bicalcarata,Q732487
Q109563529,Q109563529_Tetrao cinereus,Q756174
Q109563530,Q109563530_Tetrao cupido,Q756174
Q109563531,Q109563531_Tetrao madagarensis,Q756174
Q109563532,Q109563532_Tetrao paradoxa,Q756174
Q109563533,Q109563533_Tetrao suscitator,Q756174
Q109578149,Q109578149_Crax cumanensis,Q869569
Q109578153,Q109578153_Crax tomentosa,Q869569
Q109578154,Q109578154_Crax pipile,Q869569
Q109578300,Q109578300_Ornismya clemenciae,Q27960090
Q109578301,Q109578301_Ornismya delphinae,Q27960090
Q109578302,Q109578302_Ornismya longirostris,Q27960090
Q109578303,Q109578303_Ornismya pamela,Q27960090
Q109578304,Q109578304_Ornismya underwoodii,Q27960090
Q109578306,Q109578306_Ortyx ocellatus,Q28778256
Q109578316,Q109578316_Perdix orientalis,Q732487
Q109578317,Q109578317_Perdix thoracicus,Q732487
Q109578459,Q109578459_Tetrao bicalcaratus,Q756174
Q109578461,Q109578461_Tetrao caspius,Q756174
Q109578462,Q109578462_Tetrao scoticus,Q756174
Q109578463,Q109578463_Tetrao pondicerianus,Q756174
Q109578464,Q109578464_Tetrao urophasianus,Q756174
Q109578466,Q109578466_Tetrao variegatus,Q756174
Q110257379,Q110257379_Tropicoperdix tonkinensis,Q63048866
Q110257380,Q110257380_Tropicoperdix charltonii,Q63048866
Q110257381,Q110257381_Tropicoperdix graydoni,Q63048866
Q110257384,Q110257384_Campylopterus diamantinensis,Q535829
Q110257393,Q110257393_Amazilia oenone,Q455997
Q110257395,Q110257395_Amazilia julie,Q455997
Q110257398,Q110257398_Amazilia eliciae,Q455997
Q110257400,Q110257400_Amazilia cyanus,Q455997
Q110257401,Q110257401_Amazilia chrysura,Q455997
Q110257418,Q110257418_Amazilia coeruleogularis,Q455997
Q110257419,Q110257419_Amazilia lilliae,Q455997
Q110257420,Q110257420_Amazilia goudoti,Q455997
Q11085824,Q11085824_Apterygiformes,Q19166
Q1113470,Q1113470_Rheiformes,Q19166
Q11179724,Q11179724_Lophura leucomelana,Q773896
Q1127757,Q1127757_Mountaingem,Q1073958
Q11296652,Q11296652_キジ亜目,Q21659
Q1130092,Q1130092_ムラサキケンバネハチドリ,Q535829
Q1131174,Q1131174_Loja Hummingbird,Q455997
Q1131762,Q1131762_Anomalopteryx,Q15865426
Q1151428,Q1151428_トラフシギダチョウ,Q625342
Q1151700,Q1151700_Zhongyuanus,Q18552568
Q11704361,Q11704361_Tetrao urogallus aquitanicus,Q129059
Q11704363,Q11704363_Tetrao urogallus karelicus,Q129059
Q11704364,Q11704364_Tetrao urogallus major,Q129059
Q11704365,Q11704365_Tetrao urogallus pleskei,Q129059
Q11704366,Q11704366_Tetrao urogallus taczanowskii,Q129059
Q11704367,Q11704367_Tetrao urogallus urogallus,Q129059
Q117686,Q117686_アカコクジャク,Q852812
Q11777078,Q11777078_Meleagrididae,Q21659
Q11841018,Q11841018_Amazilia rondoniae,Q455997
Q1187277,Q1187277_ミドリビタイテリハチドリ,Q1035119
Q1189991,Q1189991_アオノドハチドリ,Q10759477
Q1189999,Q1189999_ハサミオハチドリ,Q10770224
Q1190011,Q1190011_ウロコハチドリ,Q10823971
Q1190882,Q1190882_バヌアツツカツクリ,Q777396
Q1193048,Q1193048_クビワウズラ,Q1080907
Q1193067,Q1193067_Francolinus schlegelii,Q740872
Q1193305,Q1193305_firecrown,Q1073958
Q1193783,Q1193783_ニコバルツカツクリ,Q777396
Q12214032,Q12214032_Rheae,Q840849
Q12218376,Q12218376_Casuariimorphae,Q19170
Q12232395,Q12232395_Craci,Q21659
Q12236827,Q12236827_Apterygimorphae,Q19170
Q12241512,Q12241512_Crypturi,Q19166
Q12248671,Q12248671_Struthionimorphae,Q19163
Q122868,Q122868_シロハラハチドリ,Q221209
Q1232156,Q1232156_Peliperdix,Q9304816
Q12355980,Q12355980_Tinamiformes,Q5113
Q1238736,Q1238736_Polyerata,Q1073958
Q1241572,Q1241572_Meleagridinae,Q26375
Q1258916,Q1258916_クロビタイウズラ,Q1080907
Q1258923,Q1258923_ブロンズエメラルドハチドリ,Q455997
Q1259313,Q1259313_シロアゴサファイアハチドリ,Q257832
Q1259321,Q1259321_オジロケンバネハチドリ,Q535829
Q1259465,Q1259465_キンボウシハチドリ,Q535829
Q1259671,Q1259671_ツカツクリ,Q777396
Q1259727,Q1259727_シロガシラシャクケイ,Q1071983
Q1259880,Q1259880_チャミミウズラ,Q1080907
Q1259911,Q1259911_アカガオシャクケイ,Q1071983
Q1260750,Q1260750_アカハネシャコ,Q1286431
Q1260889,Q1260889_ホシノドミズベハチドリ,Q584362
Q1260902,Q1260902_アカハシエメラルドハチドリ,Q455997
Q1260930,Q1260930_ミミグロウズラ,Q1080907
Q1260944,Q1260944_アシナガコリン,Q10811701
Q1261008,Q1261008_ノドグロテリハチドリ,Q1035119
Q1261158,Q1261158_Gunnison Grouse,Q814693
Q1261205,Q1261205_アカシャクケイ,Q1071983
Q1261221,Q1261221_ネブリナテリオハチドリ,Q541709
Q1261529,Q1261529_ムネムラサキエメラルドハチドリ,Q455997
Q1261602,Q1261602_アカオカマハシハチドリ,Q358477
Q1261619,Q1261619_チャエリシャコ,Q844415
Q1261723,Q1261723_ウスズミヒゲハチドリ,Q1081445
Q1261736,Q1261736_ミズベハチドリ,Q584362
Q1261802,Q1261802_ヒノマルテリハチドリ,Q1035119
Q1261883,Q1261883_ドウボウシハチドリ,Q303077
Q1261919,Q1261919_ヌマシャコ,Q740872
Q1262031,Q1262031_アレチシギダチョウ,Q929516
Q1262269,Q1262269_ハゲノドシャコ,Q844415
Q1262276,Q1262276_ワイゲオツカツクリ,Q2700549
Q1262423,Q1262423_イシシャコ,Q2163058
Q1262693,Q1262693_ヒメウズラシギダチョウ,Q1069587
Q1262766,Q1262766_オジロエメラルドハチドリ,Q303077
Q1262817,Q1262817_チャエリツカツクリ,Q1088357
Q1263004,Q1263004_タンザニアアカノドシャコ,Q844415
Q12630785,Q12630785_Eudromia olsoni,Q925476
Q12630820,Q12630820_Euryapteryx,Q15865426
Q1263283,Q1263283_ドウボウシユミハチドリ,Q1089119
Q1263371,Q1263371_シロタマシャコ,Q740872
Q1263378,Q1263378_ノドジロウズラ,Q1080907
Q1263482,Q1263482_ヤブウズラ,Q593360
Q1263634,Q1263634_ワキジロヤマハチドリ,Q256637
Q1263655,Q1263655_サンタマルタエリマキチビハチドリ,Q595643
Q1263774,Q1263774_バラノドチビハチドリ,Q595643
Q12638578,Q12638578_Nothura parvula,Q1069587
Q12638579,Q12638579_Nothura paludosa,Q1069587
