	audio_id	audio_file_path	book_id	title	bird_name	id	en_name	ja_name	path	ja_path_name	en_path_name	path_taxon_rank_name
0	1_01	db/日本野鳥大鑑1/01 アビ.wav	1	01 アビ	アビ	Q26691	Red-throated Diver	アビ	Q3758978/Q26691	アビ属/アビ	Gavia/Red-throated Diver	genus/species
1	1_02	db/日本野鳥大鑑1/02 カイツブリ.wav	1	02 カイツブリ	カイツブリ	Q25421	Little Grebe	カイツブリ	Q21695/Q1051101/Q25421	カイツブリ科/カイツブリ属/カイツブリ	Podicipedidae/Tachybaptus/Little Grebe	family/genus/species
2	1_03	db/日本野鳥大鑑1/03 アカエリカイツブリ.wav	1	03 アカエリカイツブリ	アカエリカイツブリ	Q179919	Red-necked Grebe	アカエリカイツブリ	Q21695/Q1237815/Q179919	カイツブリ科/カンムリカイツブリ属/アカエリカイツブリ	Podicipedidae/Podiceps/Red-necked Grebe	family/genus/species
3	1_04	db/日本野鳥大鑑1/04 カンムリカイツブリ.wav	1	04 カンムリカイツブリ	カンムリカイツブリ	Q25422	Great Crested Grebe	カンムリカイツブリ	Q21695/Q1237815/Q25422	カイツブリ科/カンムリカイツブリ属/カンムリカイツブリ	Podicipedidae/Podiceps/Great Crested Grebe	family/genus/species
4	1_05	db/日本野鳥大鑑1/05 アホウドリ.wav	1	05 アホウドリ	アホウドリ	Q853412	Short-tailed Albatross	アホウドリ	Q55805/Q370849/Q853412	アホウドリ科/キタアホウドリ属/アホウドリ	albatross/North Pacific albatross/Short-tailed Albatross	family/genus/species
5	1_06	db/日本野鳥大鑑1/06 クロアシアホウドリ.wav	1	06 クロアシアホウドリ	クロアシアホウドリ	Q600319	Black-footed Albatross	クロアシアホウドリ	Q55805/Q370849/Q600319	アホウドリ科/キタアホウドリ属/クロアシアホウドリ	albatross/North Pacific albatross/Black-footed Albatross	family/genus/species
6	1_07	db/日本野鳥大鑑1/07 オオミズナギドリ.wav	1	07 オオミズナギドリ	オオミズナギドリ	Q181320	Streaked Shearwater	オオミズナギドリ	Q207767/Q1049267/Q181320	ミズナギドリ科/オオミズナギドリ属/オオミズナギドリ	Procellariidae/Calonectris/Streaked Shearwater	family/genus/species
7	1_08	db/日本野鳥大鑑1/08 ヒメクロウミツバメ.wav	1	08 ヒメクロウミツバメ	ヒメクロウミツバメ	Q1658724	Swinhoe's Storm Petrel	ヒメクロウミツバメ	Q21685/Q193404/Q603287/Q1658724	ミズナギドリ目/ウミツバメ科/Oceanodroma/ヒメクロウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Swinhoe's Storm Petrel	order/family//species
8	1_09	db/日本野鳥大鑑1/09 コシジロウミツバメ.wav	1	09 コシジロウミツバメ	コシジロウミツバメ	Q211986	Leach’s Storm Petrel	コシジロウミツバメ	Q21685/Q193404/Q603287/Q211986	ミズナギドリ目/ウミツバメ科/Oceanodroma/コシジロウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Leach’s Storm Petrel	order/family//species
9	1_10	db/日本野鳥大鑑1/10 コシジロウミツバメ.wav	1	10 コシジロウミツバメ	コシジロウミツバメ	Q211986	Leach’s Storm Petrel	コシジロウミツバメ	Q21685/Q193404/Q603287/Q211986	ミズナギドリ目/ウミツバメ科/Oceanodroma/コシジロウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Leach’s Storm Petrel	order/family//species
