	audio_id	audio_file_path	book_id	title	bird_name	id	path	ja_path_name	en_path_name	path_taxon_rank_name
318	5_40	db/日本野鳥大鑑5/40 シチトウメジロ.wav	5	40 シチトウメジロ	シチトウメジロ	Q700028	Q371086/Q226900/Q700028	メジロ科/Zosterops/メジロ	Zosteropidae/Zosterops/Japanese White-eye	family/genus/species
319	5_41	db/日本野鳥大鑑5/41 リュウキュウメジロ.wav	5	41 リュウキュウメジロ	リュウキュウメジロ	Q700028	Q371086/Q226900/Q700028	メジロ科/Zosterops/メジロ	Zosteropidae/Zosterops/Japanese White-eye	family/genus/species
339	5_61	db/日本野鳥大鑑5/61 サバンナシトド.wav	5	61 サバンナシトド	サバンナシトド					
366	6_27	db/日本野鳥大鑑6/27 ミヤマカケス.wav	6	27 ミヤマカケス	ミヤマカケス	Q25354	Q311248/Q25354	カケス属/カケス	Garrulus/Eurasian Jay	genus/species
377	6_38	db/日本野鳥大鑑6/38 オサハシブトガラス.wav	6	38 オサハシブトガラス	オサハシブトガラス					
382	6_43	db/日本野鳥大鑑6/43 ガチョウ.wav	6	43 ガチョウ	ガチョウ	Q255503				
383	6_44	db/日本野鳥大鑑6/44 アヒル.wav	6	44 アヒル	アヒル	Q742292				
388	6_49	db/日本野鳥大鑑6/49 ドバト.wav	6	49 ドバト	ドバト	Q42326	Q28078/Q10856/Q209239/Q42326	ハト目/ハト科/カワラバト属/カワラバト	Columbiformes/Columbidae/Columba/Rock Dove	order/family/genus/species
396	6_57	db/日本野鳥大鑑6/57 アカハラシキチョウ.wav	6	57 アカハラシキチョウ	アカハラシキチョウ					
402	6_63	db/日本野鳥大鑑6/63 ホウコウチョウ.wav	6	63 ホウコウチョウ	ホウコウチョウ					
411	6_72	db/日本野鳥大鑑6/72 ギンハシ.wav	6	72 ギンハシ	ギンハシ	Q27075729	Q25341/Q194240/Q764420/Q749521/Q214462/Q992589/Q27075729	スズメ目/スズメ亜目/スズメ小目/スズメ上科/カエデチョウ科/Euodice/ギンバシ	Passeriformes/Passeri/Passerida/Passeroidea/Estrildidae/Euodice/White-throated Munia	order/suborder/parvorder /superfamily/family/genus/species
414	6_75	db/日本野鳥大鑑6/75 キンランチョウ.wav	6	75 キンランチョウ	キンランチョウ					
