audio_id	path	book_id	曲名	全長	分布	季節	環境
3_27	db/日本野鳥大鑑3/27 キジバト.wav	3	27 キジバト	33㎝	全国。北海道では夏のみ	留鳥または漂鳥	平地から山地の林、農耕地、住宅地、公園など幅広い
3_28	db/日本野鳥大鑑3/28 キンバト.wav	3	28 キンバト	25㎝	宮古島、石垣島、与那国島など南西諸島南部	留鳥	亜熱帯性の常緑広葉樹の林、その周辺の農耕地など
3_29	db/日本野鳥大鑑3/29 アオバト.wav	3	29 アオバト	33㎝	全国。北日本では夏のみ	留鳥または漂鳥	低山から山地の落葉広葉樹林
3_30	db/日本野鳥大鑑3/30 ズアカアオバト.wav	3	30 ズアカアオバト	35㎝	奄美大島以南の南西諸島	留鳥	常緑広葉樹の林、その周辺の農耕地など
3_31	db/日本野鳥大鑑3/31 ジュウイチ.wav	3	31 ジュウイチ	32㎝	全国	夏鳥	山地の森林
3_32	db/日本野鳥大鑑3/32 セグロカッコウ.wav	3	32 セグロカッコウ	32.5㎝	九州北部、中国地方	夏鳥または旅鳥	森林
3_33	db/日本野鳥大鑑3/33 カッコウ.wav	3	33 カッコウ	35㎝	全国	夏鳥	平地から山地の草原や森林
3_34	db/日本野鳥大鑑3/34 ツツドリ.wav	3	34 ツツドリ	32.5㎝	全国	夏鳥	山地の森林
3_35	db/日本野鳥大鑑3/35 ホトトギス.wav	3	35 ホトトギス	27.5㎝	本州以南。北海道では南部のみ	夏鳥	山地の森林
3_36	db/日本野鳥大鑑3/36 ワシミミズク.wav	3	36 ワシミミズク	66㎝	おもに北海道北部、北東部	冬鳥。繁殖記録がある	岩場や崖地のある森林
3_37	db/日本野鳥大鑑3/37 シマフクロウ.wav	3	37 シマフクロウ	71㎝	北海道東部	留鳥	河川や湖沼周辺の森林
3_38	db/日本野鳥大鑑3/38 トラフズク.wav	3	38 トラフズク	35～40㎝、翼開長91～102㎝	繁殖は本州中部以北。越冬は本州以南	漂鳥または留鳥	農耕地、河川敷、雑木林など
3_39	db/日本野鳥大鑑3/39 コミミズク.wav	3	39 コミミズク	35～41㎝、翼開長94～104㎝	全国	冬鳥	平地の草地、河川敷、農耕地、埋立地など
3_40	db/日本野鳥大鑑3/40 コノハズク.wav	3	40 コノハズク	18.5～21.5㎝、翼開長42～49㎝	全国	夏鳥または留鳥	山地の森林
3_41	db/日本野鳥大鑑3/41 リュウキュウコノハズク.wav	3	41 リュウキュウコノハズク	22㎝	奄美大島以南の南西諸島	留鳥	森林
3_42	db/日本野鳥大鑑3/42 ダイトウコノハズク.wav	3	42 ダイトウコノハズク					詳細記載なし
3_43	db/日本野鳥大鑑3/43 オオコノハズク.wav	3	43 オオコノハズク	24㎝	全国	留鳥または漂鳥	平地から山地の森林
3_44	db/日本野鳥大鑑3/44 リュウキュウオオコノハズク.wav	3	44 リュウキュウオオコノハズク					詳細記載なし
3_45	db/日本野鳥大鑑3/45 アオバズク.wav	3	45 アオバズク	27～30.5㎝、翼開鳥66～70.5㎝	全国	夏鳥	平地から山地の森林
3_46	db/日本野鳥大鑑3/46 フクロウ.wav	3	46 フクロウ	48～52㎝、翼開長94～102㎝	全国	留鳥	平地から山地の森林
3_47	db/日本野鳥大鑑3/47 ミナミメンフクロウ.wav	3	47 ミナミメンフクロウ	35～42㎝	沖縄県西表島	記録は初夏の１例のみ	本来の分布域では草原
3_48	db/日本野鳥大鑑3/48 ヨタカ.wav	3	48 ヨタカ	29㎝	全国	おもに夏鳥	低山から山地の森林
3_49	db/日本野鳥大鑑3/49 ハリオアマツバメ.wav	3	49 ハリオアマツバメ	21㎝、翼開長50㎝	北海道、本州	夏鳥	平地、山地
3_50	db/日本野鳥大鑑3/50 ヒメアマツバメ.wav	3	50 ヒメアマツバメ	13㎝、翼開長28㎝	茨城県以西の太平洋岸の地域	留鳥	平地の市街地など
3_51	db/日本野鳥大鑑3/51 アマツバメ.wav	3	51 アマツバメ	20㎝、翼開長43㎝	全国	夏鳥	高山と海岸
3_52	db/日本野鳥大鑑3/52 ヤマセミ.wav	3	52 ヤマセミ	37.5㎝	全国	留鳥	河川、山地の湖沼、ダム湖
3_53	db/日本野鳥大鑑3/53 ヤマショウビン.wav	3	53 ヤマショウビン	28㎝	おもに西日本	夏鳥または旅鳥	河川、湖沼、水田、海辺
3_54	db/日本野鳥大鑑3/54 アカショウビン.wav	3	54 アカショウビン	27.5㎝	全国	夏鳥	低山から山地
3_55	db/日本野鳥大鑑3/55 リュウキュウアカショウビン.wav	3	55 リュウキュウアカショウビン					詳細記載なし
3_56	db/日本野鳥大鑑3/56 ナンヨウショウビン.wav	3	56 ナンヨウショウビン	24㎝	石垣島、西表島	冬鳥または旅鳥	海岸のマングローブ林
3_57	db/日本野鳥大鑑3/57 カワセミ.wav	3	57 カワセミ	17㎝	全国	留鳥または漂鳥	河川や湖沼
3_58	db/日本野鳥大鑑3/58 アオショウビン.wav	3	58 アオショウビン	28㎝	石垣島、西表島	旅鳥	池沼、水田など水辺
3_59	db/日本野鳥大鑑3/59 ブッポウソウ.wav	3	59 ブッポウソウ	29.5㎝	本州以南	夏鳥	山地の森林
3_60	db/日本野鳥大鑑3/60 ヤツガシラ.wav	3	60 ヤツガシラ	26㎝	ほぼ全国	旅鳥、または夏鳥	草地、農耕地、グランドなど
3_61	db/日本野鳥大鑑3/61 アリスイ.wav	3	61 アリスイ	17.5㎝	繁殖は東北地方以北。越冬は中部地方以南	漂鳥	平地から丘陵地の明るい林
3_62	db/日本野鳥大鑑3/62 アオゲラ.wav	3	62 アオゲラ	29㎝	本州以南	留鳥	低山から山地の森林
3_63	db/日本野鳥大鑑3/63 ヤマゲラ.wav	3	63 ヤマゲラ	29.5㎝	北海道	留鳥	丘陵地の森林
3_64	db/日本野鳥大鑑3/64 ノグチゲラ.wav	3	64 ノグチゲラ	31㎝	沖縄本島北部	留鳥	森林
3_65	db/日本野鳥大鑑3/65 クマゲラ.wav	3	65 クマゲラ	45.5㎝	東北地方北部、北海道	留鳥	森林
3_66	db/日本野鳥大鑑3/66 アカゲラ.wav	3	66 アカゲラ	23.5㎝	本州以北	留鳥	低山から山地の森林
3_67	db/日本野鳥大鑑3/67 オオアカゲラ.wav	3	67 オオアカゲラ	28㎝	全国だが西日本に多い	留鳥	山地の森林
3_68	db/日本野鳥大鑑3/68 オーストンオオアカゲラ.wav	3	68 オーストンオオアカゲラ					詳細記載なし
3_69	db/日本野鳥大鑑3/69 コアカゲラ.wav	3	69 コアカゲラ	16㎝	北海道	留鳥	森林
3_70	db/日本野鳥大鑑3/70 コゲラ.wav	3	70 コゲラ	15㎝	全国	留鳥	平地から山地の森林
3_71	db/日本野鳥大鑑3/71 リュウキュウコゲラ.wav	3	71 リュウキュウコゲラ					詳細記載なし
4_01	db/日本野鳥大鑑4/01 ヤイロチョウ.wav	4	01 ヤイロチョウ	20㎝	本州中部地方以南	夏鳥	山地の常緑広葉樹の多い森林
4_02	db/日本野鳥大鑑4/02 ヒバリ.wav	4	02 ヒバリ	17㎝	全国。北日本では夏	留鳥または漂鳥	平地から山地の河原や農耕地
4_03	db/日本野鳥大鑑4/03 ショウドウツバメ.wav	4	03 ショウドウツバメ	12.5㎝	北海道。本州では春と秋に通過する	夏鳥または旅鳥	平地の草原。崖地で繁殖する
4_04	db/日本野鳥大鑑4/04 ツバメ.wav	4	04 ツバメ	17㎝	北海道南部以南	夏鳥。まれに日本で越冬するものもいる	平地の水辺や住宅地
4_05	db/日本野鳥大鑑4/05 リュウキュウツバメ.wav	4	05 リュウキュウツバメ	13㎝	奄美大島以南	おもに夏鳥。越冬例も多い	水辺に近い住宅地、水田など
4_06	db/日本野鳥大鑑4/06 コシアカツバメ.wav	4	06 コシアカツバメ	18.5㎝	東北地方南部以南	夏鳥	平地の住宅地、水辺
4_07	db/日本野鳥大鑑4/07 イワツバメ.wav	4	07 イワツバメ	14.5㎝	全国	夏鳥。東海地方から九州では越冬するものもいる	平地から山地の水辺。建築物で繁殖
4_08	db/日本野鳥大鑑4/08 イワミセキレイ.wav	4	08 イワミセキレイ	15.5㎝	本州以南。九州北部、山陰地方で繁殖	九州、山陰地方で夏鳥。そのほかの地方では冬鳥または旅鳥	雑木林、丘陵地の林
4_09	db/日本野鳥大鑑4/09 ツメナガセキレイ.wav	4	09 ツメナガセキレイ	16.5㎝	ユーラシア大陸で広く繁殖し、アフリカやインドで越冬。日本では沖縄などを少数が通過ないし越冬、北海道で少数が繁殖	旅鳥、冬鳥または夏鳥	草原、農耕地、河川敷など開けた環境
4_10	db/日本野鳥大鑑4/10 キセキレイ.wav	4	10 キセキレイ	20㎝	全国。北日本では夏	留鳥または漂鳥	平地から山地の水辺
4_11	db/日本野鳥大鑑4/11 ハクセキレイ.wav	4	11 ハクセキレイ	21㎝	全国	留鳥または漂鳥	海岸から平地の河川、湖沼などの水辺
4_12	db/日本野鳥大鑑4/12 ホオジロハクセキレイ.wav	4	12 ホオジロハクセキレイ					詳細記載なし
4_13	db/日本野鳥大鑑4/13 セグロセキレイ.wav	4	13 セグロセキレイ	21㎝	全国	留鳥	平地から山地の河川、湖沼などの水辺
4_14	db/日本野鳥大鑑4/14 ビンズイ.wav	4	14 ビンズイ	15.5㎝	全国。四国以北で繁殖、東北地方南部以南で越冬	漂鳥	高山や山地の森林で繁殖、低山から平地の明るい林で越冬
4_15	db/日本野鳥大鑑4/15 タヒバリ.wav	4	15 タヒバリ	16㎝	東北地方南部以南	冬鳥	平地の河川や湖沼のほとり
4_16	db/日本野鳥大鑑4/16 サンショウクイ.wav	4	16 サンショウクイ	20㎝	本州以南	夏鳥	平地から山地の森林
4_17	db/日本野鳥大鑑4/17 リュウキュウサンショウクイ.wav	4	17 リュウキュウサンショウクイ					詳細記載なし
4_18	db/日本野鳥大鑑4/18 ヒヨドリ.wav	4	18 ヒヨドリ	27.5㎝	全国	留鳥または漂鳥	平地から山地の林
4_19	db/日本野鳥大鑑4/19 アマミヒヨドリ.wav	4	19 アマミヒヨドリ					詳細記載なし
4_20	db/日本野鳥大鑑4/20 オガサワラヒヨドリ.wav	4	20 オガサワラヒヨドリ					詳細記載なし
4_21	db/日本野鳥大鑑4/21 ダイトウヒヨドリ.wav	4	21 ダイトウヒヨドリ					詳細記載なし
4_22	db/日本野鳥大鑑4/22 シロガシラ.wav	4	22 シロガシラ	19㎝	南西諸島南部の沖縄本島など	留鳥	農耕地、林など
4_23	db/日本野鳥大鑑4/23 チゴモズ.wav	4	23 チゴモズ	18.5㎝	本州	夏鳥	山地の明るい林、農耕地、草原など
4_24	db/日本野鳥大鑑4/24 モズ.wav	4	24 モズ	20㎝	全国。北海道では夏のみ	留鳥または漂鳥	山地から平地の開けた環境
4_25	db/日本野鳥大鑑4/25 アカモズ.wav	4	25 アカモズ	20㎝	全国	夏鳥	本州では山地、北海道では平地の森林
4_26	db/日本野鳥大鑑4/26 シマアカモズ.wav	4	26 シマアカモズ					詳細記載なし
4_27	db/日本野鳥大鑑4/27 キレンジャク.wav	4	27 キレンジャク	19.5㎝	九州南部以北	冬鳥	平地から山地の森林
4_28	db/日本野鳥大鑑4/28 ヒレンジャク.wav	4	28 ヒレンジャク	17.5㎝	九州北部以北	冬鳥	平地から山地の森林
4_29	db/日本野鳥大鑑4/29 カワガラス.wav	4	29 カワガラス	22㎝	全国	留鳥	平地から高山帯の渓流
4_30	db/日本野鳥大鑑4/30 ミソサザイ.wav	4	30 ミソサザイ	10.5㎝	全国	留鳥	山地の渓流とその周辺
4_31	db/日本野鳥大鑑4/31 モスケミソサザイ.wav	4	31 モスケミソサザイ					詳細記載なし
4_32	db/日本野鳥大鑑4/32 イワヒバリ.wav	4	32 イワヒバリ	18㎝	本州中部の南～北アルプス、富士山を中心に分布し、北限は岩手県の早池峰山	留鳥	高山、越冬期は低山
4_33	db/日本野鳥大鑑4/33 カヤクグリ.wav	4	33 カヤクグリ	14㎝	全国。繁殖は四国以北、越冬は本州以南	留鳥または漂鳥	高山、越冬期は低山
4_34	db/日本野鳥大鑑4/34 コマドリ.wav	4	34 コマドリ	14㎝	全国	夏鳥	山地の森林
4_35	db/日本野鳥大鑑4/35 タネコマドリ.wav	4	35 タネコマドリ					詳細記載なし
4_36	db/日本野鳥大鑑4/36 アカヒゲ.wav	4	36 アカヒゲ	14㎝	屋久島以南の南西諸島	留鳥	よく茂った常緑広葉樹林
4_37	db/日本野鳥大鑑4/37 ホントウアカヒゲ.wav	4	37 ホントウアカヒゲ					詳細記載なし
4_38	db/日本野鳥大鑑4/38 シマゴマ.wav	4	38 シマゴマ	13㎝	日本海側の沿岸、離島	旅鳥	よく繁った林の藪
4_39	db/日本野鳥大鑑4/39 ヨーロッパコマドリ.wav	4	39 ヨーロッパコマドリ	14㎝	日本海の離島	旅鳥または冬鳥	農耕地、公園など
4_40	db/日本野鳥大鑑4/40 ノゴマ.wav	4	40 ノゴマ	16㎝	北海道。一部は本州北部	夏鳥	草原
4_41	db/日本野鳥大鑑4/41 オガワコマドリ.wav	4	41 オガワコマドリ	15㎝	ユーラシア大陸に広く分布。日本ではまれ	旅鳥または冬鳥	農耕地、河川敷など開けた環境やアシ原などの草原
4_42	db/日本野鳥大鑑4/42 コルリ.wav	4	42 コルリ	14㎝	全国。分布の中心は本州中部から北海道	夏鳥	山地の森林
4_43	db/日本野鳥大鑑4/43 ルリビタキ.wav	4	43 ルリビタキ	14㎝	全国。繁殖は四国、本州以北。越冬は東北地方南部以南	漂鳥	繁殖は亜高山の森林、越冬は平地の公園、雑木林など
4_44	db/日本野鳥大鑑4/44 ジョウビタキ.wav	4	44 ジョウビタキ	14㎝	全国	冬鳥。北海道では繁殖例がある	平地から山地の開けた環境
4_45	db/日本野鳥大鑑4/45 シロビタイジョウビタキ.wav	4	45 シロビタイジョウビタキ	14㎝	日本海側の離島	旅鳥または冬鳥	林、林縁部、公園、庭園
4_46	db/日本野鳥大鑑4/46 ノビタキ.wav	4	46 ノビタキ	13㎝	全国。繁殖は本州以南。四国、九州では通過	夏鳥または旅鳥	草原、農耕地
4_47	db/日本野鳥大鑑4/47 ハシグロヒタキ.wav	4	47 ハシグロヒタキ	14.5㎝	ユーラシア大陸、北米大陸に広く分布。日本では少数の記録があるのみ	冬鳥ないし旅鳥	埋立地、草地
4_48	db/日本野鳥大鑑4/48 イソヒヨドリ.wav	4	48 イソヒヨドリ	25.5㎝	全国	留鳥または漂鳥	岩礁海岸
4_49	db/日本野鳥大鑑4/49 トラツグミ.wav	4	49 トラツグミ	29.5㎝	全国	漂鳥	平地から山地の森林
4_50	db/日本野鳥大鑑4/50 オオトラツグミ.wav	4	50 オオトラツグミ					詳細記載なし
4_51	db/日本野鳥大鑑4/51 マミジロ.wav	4	51 マミジロ	23.5㎝	本州中部地方以北	夏鳥	山地の森林
4_52	db/日本野鳥大鑑4/52 クロツグミ.wav	4	52 クロツグミ	21.5㎝	全国	夏鳥	平地から低山の森林。本州中部では標高800ｍ以下
4_53	db/日本野鳥大鑑4/53 クロウタドリ.wav	4	53 クロウタドリ	25㎝	ヨーロッパを中心にユーラシア大陸に広く分布。日本ではまれ	旅鳥または冬鳥	グラウンド、公園の芝生など開けた環境
4_54	db/日本野鳥大鑑4/54 アカハラ.wav	4	54 アカハラ	23.5㎝	全国。繁殖は本州中部地方以北、越冬は本州中部地方以南の太平洋側	漂鳥	平地から山地の森林
4_55	db/日本野鳥大鑑4/55 アカコッコ.wav	4	55 アカコッコ	23㎝	伊豆諸島伊豆大島から青ヶ島、吐噶喇列島中之島、屋久島	留鳥、一部漂鳥	常緑広葉樹林の林縁や住宅地、農耕地など比較的開けた環境
4_56	db/日本野鳥大鑑4/56 シロハラ.wav	4	56 シロハラ	24㎝	東北地方南部以南。少数が中国地方で繁殖	冬鳥または留鳥	平地から低山の森林
4_57	db/日本野鳥大鑑4/57 マミチャジナイ.wav	4	57 マミチャジナイ	22㎝	全国	旅鳥または冬鳥	丘陵や平地の林、公園
4_58	db/日本野鳥大鑑4/58 ツグミ.wav	4	58 ツグミ	24㎝	全国	冬鳥	平地から山地の森林や農耕地、公園など
4_59	db/日本野鳥大鑑4/59 ノハラツグミ.wav	4	59 ノハラツグミ	28㎝	ヨーロッパをはじめユーラシア大陸西部に広く分布。日本では長野県、神奈川県、埼玉県など数例の記録があるのみ	冬鳥と思われる	農耕地など開けた環境
4_60	db/日本野鳥大鑑4/60 ウタツグミ.wav	4	60 ウタツグミ	23㎝	ユーラシア大陸の西部を中心に広く分布。日本では神奈川県横浜市で記録された１例のみ	冬場と思われる	明るい林や農耕地
4_61	db/日本野鳥大鑑4/61 ヤドリギツグミ.wav	4	61 ヤドリギツグミ	28㎝	ユーラシア大陸西部を中心に広く分布。日本では１例の記録のみ	冬場と思われる	公園、農耕地
4_62	db/日本野鳥大鑑4/62 ダルマエナガ.wav	4	62 ダルマエナガ	11.5㎝	東南アジア北部、中国、朝鮮半島にかけて広く分布。日本では１例があるのみ	旅鳥と思われる	灌木林、アシ原
4_63	db/日本野鳥大鑑4/63 ウグイス.wav	4	63 ウグイス	14～15.5㎝	全国	漂鳥または留鳥	平地から山地の森林
4_64	db/日本野鳥大鑑4/64 ハシナガウグイス.wav	4	64 ハシナガウグイス					詳細記載なし
4_65	db/日本野鳥大鑑4/65 リュウキュウウグイス.wav	4	65 リュウキュウウグイス					詳細記載なし
4_66	db/日本野鳥大鑑4/66 ヤブサメ.wav	4	66 ヤブサメ	10.5㎝	全国	夏鳥	山地の森林
4_67	db/日本野鳥大鑑4/67 オオセッカ.wav	4	67 オオセッカ	13㎝	青森県、秋田県、千葉県など	漂鳥	アシ原などの湿原
4_68	db/日本野鳥大鑑4/68 エゾセンニュウ.wav	4	68 エゾセンニュウ	18㎝	北海道	夏鳥	灌木林、森林の周辺の藪、灌木の点在する草原
4_69	db/日本野鳥大鑑4/69 シマセンニュウ.wav	4	69 シマセンニュウ	15.5㎝	北海道	夏鳥	草原
4_70	db/日本野鳥大鑑4/70 ウチヤマセンニュウ.wav	4	70 ウチヤマセンニュウ	16.5㎝	日本列島と朝鮮半島周辺の離島	夏鳥	島の草地、灌木林
4_71	db/日本野鳥大鑑4/71 マキノセンニュウ.wav	4	71 マキノセンニュウ	12㎝	北海道	夏鳥	海辺の草原
4_72	db/日本野鳥大鑑4/72 コヨシキリ.wav	4	72 コヨシキリ	13.5㎝	全国	夏鳥	平地から高原の草原
4_73	db/日本野鳥大鑑4/73 オオヨシキリ.wav	4	73 オオヨシキリ	18.5㎝	全国	夏鳥	平地から山地のアシ原
5_01	db/日本野鳥大鑑5/01 コノドジロムシクイ.wav	5	01 コノドジロムシクイ	13㎝	北海道、山形県	旅鳥	林やその周辺の藪
5_02	db/日本野鳥大鑑5/02 キタヤナギムシクイ.wav	5	02 キタヤナギムシクイ	11.5㎝	日本海の離島、福岡県	旅鳥	明るい林
5_03	db/日本野鳥大鑑5/03 チフチャフ.wav	5	03 チフチャフ	11㎝	おもに日本海の離島、沿岸	旅鳥	明るい林、林縁部
5_04	db/日本野鳥大鑑5/04 モリムシクイ.wav	5	04 モリムシクイ	12.5㎝	北海道、日本海の離島	旅鳥	森林の周辺の藪
5_05	db/日本野鳥大鑑5/05 カラフトムジセッカ.wav	5	05 カラフトムジセッカ	12～13㎝	おもに日本海の離島	おもに旅鳥	林縁部、草地、畑
5_06	db/日本野鳥大鑑5/06 キマユムシクイ.wav	5	06 キマユムシクイ	10.5㎝	ユーラシア大陸東部に広く分布。日本各地に少数が渡来	旅鳥	針葉樹林や針葉樹と広葉樹の混じった林
5_07	db/日本野鳥大鑑5/07 カラフトムシクイ.wav	5	07 カラフトムシクイ	10～10.5㎝	北海道、本州、日本海の離島など	旅鳥	離島の林、藪
5_08	db/日本野鳥大鑑5/08 メボソムシクイ.wav	5	08 メボソムシクイ	13㎝	四国、本州以北	夏鳥	低い山地から亜高山の森林
5_09	db/日本野鳥大鑑5/09 コメボソムシクイ.wav	5	09 コメボソムシクイ					詳細記載なし
5_10	db/日本野鳥大鑑5/10 エゾムシクイ.wav	5	10 エゾムシクイ	11.5㎝	本州中部地方以北	夏鳥	亜高山帯の針葉樹林。本州では標高1,000ｍ以上、北海道では標高500ｍ以上の山地
5_11	db/日本野鳥大鑑5/11 センダイムシクイ.wav	5	11 センダイムシクイ	12.5㎝	全国	夏鳥	低山の森林。本州は山地の落葉広葉樹林、北海道では平地にも生息
5_12	db/日本野鳥大鑑5/12 イイジマムシクイ.wav	5	12 イイジマムシクイ	11.5㎝	伊豆諸島や吐噶喇列島中之島	夏鳥。越冬例もある	よく茂った広葉樹林や針広混交林
5_13	db/日本野鳥大鑑5/13 キクイタダキ.wav	5	13 キクイタダキ	10㎝	全国。中部地方以北で繁殖、北海道南部以南で越冬	留鳥または漂鳥	本州では山地、北海道や冬季は低山から平地の森林
5_14	db/日本野鳥大鑑5/14 セッカ.wav	5	14 セッカ	12.5㎝	東北地方南部以南。繁殖は東北地方南部以南、越冬は関東地方以南の太平洋側	留鳥または漂鳥	平地から山地の草原や湖沼などの水辺
5_15	db/日本野鳥大鑑5/15 マダラヒタキ.wav	5	15 マダラヒタキ	13～14㎝	ユーラシア大陸の西部に広く繁殖。日本での記録は石川県舳倉島	旅鳥	森林
5_16	db/日本野鳥大鑑5/16 ムギマキ.wav	5	16 ムギマキ	13㎝	全国	旅鳥	沿岸のマツ林、雑木林
5_17	db/日本野鳥大鑑5/17 マミジロキビタキ.wav	5	17 マミジロキビタキ	13㎝	北海道、本州、九州などの各地	旅鳥。富士山山麓で繁殖記録がある	落葉広葉樹林など
5_18	db/日本野鳥大鑑5/18 キビタキ.wav	5	18 キビタキ	14.5㎝	全国	夏鳥	丘陵から山地の森林。北海道では平地にも生息
5_19	db/日本野鳥大鑑5/19 リュウキュウキビタキ.wav	5	19 リュウキュウキビタキ					詳細記載なし
5_20	db/日本野鳥大鑑5/20 オオルリ.wav	5	20 オオルリ	16.5㎝	全国	夏鳥	山地の渓流沿いの林
5_21	db/日本野鳥大鑑5/21 サメビタキ.wav	5	21 サメビタキ	13.5㎝	本州中部地方以北	夏鳥	亜高山帯の針葉樹林
5_22	db/日本野鳥大鑑5/22 コサメビタキ.wav	5	22 コサメビタキ	13㎝	全国	夏鳥	平地から丘陵地の落葉広葉樹林、村落付近の林
5_23	db/日本野鳥大鑑5/23 サンコウチョウ.wav	5	23 サンコウチョウ	雄は44.5㎝、雌は17.5㎝	東北地方南部以南	夏鳥	平地から低山の森林
5_24	db/日本野鳥大鑑5/24 リュウキュウサンコウチョウ.wav	5	24 リュウキュウサンコウチョウ					詳細記載なし
5_25	db/日本野鳥大鑑5/25 エナガ.wav	5	25 エナガ	13.5㎝	全国	留鳥	おもに平地から山地の林
5_26	db/日本野鳥大鑑5/26 シマエナガ.wav	5	26 シマエナガ					詳細記載なし
5_27	db/日本野鳥大鑑5/27 ツリスガラ.wav	5	27 ツリスガラ	11㎝	おもに西日本。近年東日本まで分布を広げている。	冬鳥	川沿いや河口、埋立地周辺のアシ原
5_28	db/日本野鳥大鑑5/28 ハシブトガラ.wav	5	28 ハシブトガラ	12.5㎝	北海道	留鳥または漂鳥	丘陵から山地の林、冬季は市街地でも
5_29	db/日本野鳥大鑑5/29 コガラ.wav	5	29 コガラ	12.5㎝	全国	留鳥	山地の森林
5_30	db/日本野鳥大鑑5/30 ヒガラ.wav	5	30 ヒガラ	11㎝	全国	留鳥	山地から低山の森林
5_31	db/日本野鳥大鑑5/31 ヤマガラ.wav	5	31 ヤマガラ	14㎝	北海道南部以南	留鳥	平地から山地の森林
5_32	db/日本野鳥大鑑5/32 アマミヤマガラ.wav	5	32 アマミヤマガラ					詳細記載なし
5_33	db/日本野鳥大鑑5/33 オーストンヤマガラ.wav	5	33 オーストンヤマガラ					詳細記載なし
5_34	db/日本野鳥大鑑5/34 シジュウカラ.wav	5	34 シジュウカラ	14.5㎝	全国	留鳥	平地から山地の森林、公園、雑木林など
5_35	db/日本野鳥大鑑5/35 イシガキシジュウカラ.wav	5	35 イシガキシジュウカラ					詳細記載なし
5_36	db/日本野鳥大鑑5/36 ゴジュウカラ.wav	5	36 ゴジュウカラ	13.5㎝	全国	留鳥または漂鳥	山地の森林。越冬期は低山にも
5_37	db/日本野鳥大鑑5/37 シロハラゴジュウカラ.wav	5	37 シロハラゴジュウカラ					詳細記載なし
5_38	db/日本野鳥大鑑5/38 キバシリ.wav	5	38 キバシリ	13.5㎝	全国だが中部・関東地方以北に多い	留鳥	山地の森林
5_39	db/日本野鳥大鑑5/39 メジロ.wav	5	39 メジロ	11.5㎝	全国。冬季は東北地方南部以南	留鳥または漂鳥	平地から山地の森林
5_40	db/日本野鳥大鑑5/40 シチトウメジロ.wav	5	40 シチトウメジロ					詳細記載なし
5_41	db/日本野鳥大鑑5/41 リュウキュウメジロ.wav	5	41 リュウキュウメジロ					詳細記載なし
5_42	db/日本野鳥大鑑5/42 メグロ.wav	5	42 メグロ	13.5㎝	小笠原諸島	留鳥	島の林
5_43	db/日本野鳥大鑑5/43 キアオジ.wav	5	43 キアオジ	16㎝	ユーラシア大陸中央部に広く分布。日本では長野県、石川県で数例の記録があるのみ	冬鳥と思われる	灌木のある草原、灌木林、林の中の空き地など
5_44	db/日本野鳥大鑑5/44 シラガホオジロ.wav	5	44 シラガホオジロ	17㎝	ユーラシア大陸中央部から西部に広く分布。日本では日本海側の離島をはじめ北海道、本州、九州にまれに渡来	旅鳥または冬鳥	林周辺の農耕地など
5_45	db/日本野鳥大鑑5/45 ホオジロ.wav	5	45 ホオジロ	16.5㎝	屋久島以北の全国	留鳥または漂鳥	農耕地、河川敷、公園、平地から山地の森林
5_46	db/日本野鳥大鑑5/46 ズアオホオジロ.wav	5	46 ズアオホオジロ	17㎝	ユーラシア大陸の中央部に分布。日本では日本海の離島で１例のみ	旅鳥と思われる	草原、農耕地、荒れ地
5_47	db/日本野鳥大鑑5/47 コジュリン.wav	5	47 コジュリン	14.5㎝	本州中部と北部、九州の一部で局地的に繁殖	留鳥または漂鳥	高地の草原や平地のアシ原で繁殖。平地のアシ原などで越冬
5_48	db/日本野鳥大鑑5/48 ホオアカ.wav	5	48 ホオアカ	16㎝	全国。関東・中部地方以南で越冬	漂鳥	北日本では平地の、本州中部では高原の草原、農耕地
5_49	db/日本野鳥大鑑5/49 コホオアカ.wav	5	49 コホオアカ	13㎝	ほぼ全国	旅鳥または冬鳥	明るい林、農耕地
5_50	db/日本野鳥大鑑5/50 カシラダカ.wav	5	50 カシラダカ	15㎝	全国	冬鳥。青森県で繁殖例がある	平地から丘陵地の草地や農耕地
5_51	db/日本野鳥大鑑5/51 ミヤマホオジロ.wav	5	51 ミヤマホオジロ	15.5㎝	本州中部地方以西で越冬。長崎県対馬では繁殖記録がある	冬鳥	平地から山地の林や山間部の草むらなど
5_52	db/日本野鳥大鑑5/52 シマアオジ.wav	5	52 シマアオジ	14㎝	北海道、青森県の一部	夏鳥	草原
5_53	db/日本野鳥大鑑5/53 シマノジコ.wav	5	53 シマノジコ	13.5㎝	中国東北部で繁殖。華南、東南アジアで越冬。日本ではおもに日本海側の離島を春と秋に通過	旅鳥	低木林、林の縁、笹薮など
5_54	db/日本野鳥大鑑5/54 ノジコ.wav	5	54 ノジコ	14㎝	中部地方以北の本州各地に局所的に分布。京都府、兵庫県、大分県などでも繁殖が確認されたり、繁殖期に記録されている。	夏鳥	山地の明るい林、沢沿いの灌木林、河原など
5_55	db/日本野鳥大鑑5/55 アオジ.wav	5	55 アオジ	16㎝	全国。中部地方以北で繁殖、東北地方南部以南で越冬	漂鳥	山地から平地の森林
