audio_id	path	book_id	曲名	全長	分布	季節	環境
1_33	db/日本野鳥大鑑1/33 トキ.wav	1	33 トキ	76.5㎝	新潟県佐渡島で飼育	留鳥	農耕地など
1_34	db/日本野鳥大鑑1/34 クロトキ.wav	1	34 クロトキ	68㎝	全国	おもに冬鳥	水田、湿地、干潟など水辺
1_35	db/日本野鳥大鑑1/35 カナダガン.wav	1	35 カナダガン	67㎝	北アメリカに広く分布。日本では少数が渡来	冬鳥	湖沼、農耕地
1_36	db/日本野鳥大鑑1/36 コクガン.wav	1	36 コクガン	61㎝	全国	冬鳥	内湾、岩礁海岸
1_37	db/日本野鳥大鑑1/37 ハイイロガン.wav	1	37 ハイイロガン	84㎝	全国	冬鳥	農耕地、湖沼
1_38	db/日本野鳥大鑑1/38 マガン.wav	1	38 マガン	72㎝	宮城県伊豆沼、石川県片野鴨池の2か所に多く、北海道の湖沼では春と秋に通過	冬鳥。北海道では旅鳥	湖沼、農耕地
1_39	db/日本野鳥大鑑1/39 カリガネ.wav	1	39 カリガネ	58.5㎝	ほぼ全国	冬鳥	湖沼
1_40	db/日本野鳥大鑑1/40 ヒシクイ.wav	1	40 ヒシクイ	85㎝	宮城県伊豆沼、新潟県や石川県の湖沼、茨城県の農耕地など局地的	冬鳥（北海道では旅鳥）	湖沼、農耕地
1_41	db/日本野鳥大鑑1/41 オオヒシクイ.wav	1	41 オオヒシクイ					詳細記載なし
1_42	db/日本野鳥大鑑1/42 インドガン.wav	1	42 インドガン	76㎝	北海道、長野県、東京都、千葉県、広島県で記録されている	冬鳥または旅鳥	湖沼、河川などの水辺
1_43	db/日本野鳥大鑑1/43 ハクガン.wav	1	43 ハクガン	67㎝	全国	冬鳥	湖沼、農耕地
1_44	db/日本野鳥大鑑1/44 ミカドガン.wav	1	44 ミカドガン	66～89㎝	宮城県仙台市で１例の記録があるのみ	冬鳥	左記の記録では水田
1_45	db/日本野鳥大鑑1/45 オオハクチョウ.wav	1	45 オオハクチョウ	140㎝	北陸地方、関東地方以北の本州	冬鳥	湖沼、内湾、農耕地
1_46	db/日本野鳥大鑑1/46 コハクチョウ.wav	1	46 コハクチョウ	120㎝	山陰地方以北の本州	冬鳥	湖沼、内湾、農耕地
1_47	db/日本野鳥大鑑1/47 アカツクシガモ.wav	1	47 アカツクシガモ	63.5㎝	ほぼ全国	冬鳥	埋立地、農耕地、湖沼
1_48	db/日本野鳥大鑑1/48 オシドリ.wav	1	48 オシドリ	45㎝	中部地方以北で繁殖。本州以南で越冬	漂鳥または冬鳥	湖沼
1_49	db/日本野鳥大鑑1/49 マガモ.wav	1	49 マガモ	59㎝	全国	留鳥または冬鳥	湖沼、河川
1_50	db/日本野鳥大鑑1/50 カルガモ.wav	1	50 カルガモ	60.5㎝	全国	留鳥	湖沼、河川
1_51	db/日本野鳥大鑑1/51 コガモ.wav	1	51 コガモ	37.5㎝	全国。少数が北日本で繁殖	おもに冬鳥	河川、湖沼、干潟
1_52	db/日本野鳥大鑑1/52 ヨシガモ.wav	1	52 ヨシガモ	48㎝	北海道で繁殖、本州以南で越冬	北海道で夏鳥、そのほかで冬鳥	繁殖地は湖沼、湿原。越冬地は湖沼、河口
